Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category
"Chick-fil-A Nuggets, 5 ct",160,7.0,1.5,0.0,50,760,7,0,1,17,Chick-fil-A,Other
"Chick-fil-A Nuggets, 8 ct",250,11.0,2.5,0.0,85,1210,11,0,1,27,Chick-fil-A,Other
"Chick-fil-A Nuggets, 12 ct",380,17.0,3.5,0.0,125,1820,16,0,1,40,Chick-fil-A,Other
"Chick-fil-A Nuggets, 30 ct",950,43.0,9.0,0.0,315,4550,41,0,4,100,Chick-fil-A,Other
"Chick-fil-A Nuggets Football-Shaped Tray, 30 ct",950,43.0,9.0,0.0,315,4550,41,0,4,100,Chick-fil-A,Other
Grilled Chicken Club with American,490,19.0,6.0,0.0,100,1150,45,3,12,34,Chick-fil-A,Chicken
Grilled Chicken Club with Colby Jack,520,22.0,8.0,0.0,105,1130,45,3,12,37,Chick-fil-A,Chicken
Grilled Chicken Club with No Cheese,440,15.0,4.0,0.0,85,910,45,3,11,31,Chick-fil-A,Chicken
Grilled Chicken Club with Pepper Jack,520,21.0,8.0,0.0,105,1050,45,3,11,36,Chick-fil-A,Chicken
Grilled Chicken Sandwich,390,11.0,2.5,0.0,75,770,45,3,11,28,Chick-fil-A,Chicken
"Grilled Nuggets, 5 ct",80,2.0,0.0,0.0,55,270,1,0,0,16,Chick-fil-A,Other
"Grilled Nuggets, 8 ct",130,3.0,0.5,0.0,85,440,1,0,1,25,Chick-fil-A,Other
"Grilled Nuggets, 12 ct",200,4.5,1.0,0.0,130,660,2,0,1,38,Chick-fil-A,Other
"Grilled Nuggets, 30 ct",510,11.0,3.0,0.0,335,1710,4,1,3,98,Chick-fil-A,Other
Spicy Chicken Sandwich,450,19.0,4.0,0.0,65,1730,45,1,6,28,Chick-fil-A,Chicken
Spicy Deluxe Sandwich with American,510,23.0,6.0,0.0,80,1970,47,2,7,31,Chick-fil-A,Sandwich
Spicy Deluxe Sandwich with Colby Jack,540,26.0,8.0,0.0,85,1880,47,2,7,34,Chick-fil-A,Sandwich
Spicy Deluxe Sandwich with No Cheese,460,19.0,4.0,0.0,65,1730,46,2,7,28,Chick-fil-A,Sandwich
Spicy Deluxe Sandwich with Pepper Jack,520,25.0,7.0,0.0,80,1790,46,2,7,31,Chick-fil-A,Sandwich
Cobb Salad,830,60.0,13.0,0.0,230,2220,31,5,8,42,Chick-fil-A,Salad
Cobb Salad with Chick-fil-A Chick-n-Strips,890,63.0,13.0,0.0,220,1880,37,5,9,44,Chick-fil-A,Salad
Cobb Salad with Chick-fil-A Filet,830,60.0,13.0,0.0,215,2130,33,5,9,39,Chick-fil-A,Salad
Cobb Salad with Grilled Filet (Cold),690,50.0,11.0,0.0,220,1390,22,5,8,36,Chick-fil-A,Salad
Cobb Salad with Grilled Filet (Warm),690,50.0,11.0,0.0,215,1380,22,5,8,36,Chick-fil-A,Salad
Cobb Salad with Grilled Nuggets,710,52.0,11.0,0.0,230,1450,22,6,8,40,Chick-fil-A,Salad
Cobb Salad with No Chicken,580,49.0,11.0,0.0,145,1010,21,5,7,15,Chick-fil-A,Chicken
Cobb Salad with Nuggets,830,60.0,13.0,0.0,230,2220,31,5,8,42,Chick-fil-A,Salad
Cobb Salad with Spicy Filet,860,62.0,13.0,0.0,210,2400,37,6,9,38,Chick-fil-A,Salad
Cobb Salad with Spicy Grilled Filet (Cold),690,51.0,11.0,0.0,210,1740,23,6,8,34,Chick-fil-A,Salad
Market Salad,550,31.0,6.0,0.0,80,1010,42,5,26,28,Chick-fil-A,Salad
Market Salad with Chick-fil-A Chick-n-Strips,750,43.0,8.0,0.0,85,1500,57,5,27,36,Chick-fil-A,Salad
Market Salad with Chick-fil-A Filet,690,41.0,8.0,0.0,80,1750,53,0,27,31,Chick-fil-A,Salad
Market Salad with Grilled Filet (Cold),550,31.0,6.0,0.0,80,1010,42,5,26,28,Chick-fil-A,Salad
Market Salad with Grilled Filet (Warm),550,31.0,6.0,0.0,80,1010,42,5,26,28,Chick-fil-A,Salad
Market Salad with Grilled Nuggets,570,32.0,6.0,0.0,95,1080,41,6,27,32,Chick-fil-A,Salad
Market Salad with No Chicken,440,29.0,6.0,0.0,10,640,40,5,26,7,Chick-fil-A,Chicken
Market Salad with Nuggets,690,40.0,8.0,0.0,90,1850,51,5,27,34,Chick-fil-A,Salad
Market Salad with Spicy Filet,720,42.0,8.0,0.0,75,2020,56,6,27,30,Chick-fil-A,Salad
Market Salad with Spicy Grilled Filet (Cold),540,31.0,6.0,0.0,70,1360,42,6,27,26,Chick-fil-A,Salad
Spicy Southwest Salad,680,49.0,10.0,0.0,100,1570,27,7,7,33,Chick-fil-A,Salad
Spicy Southwest Salad with Chick-fil-A Chick-n-Strips,880,60.0,12.0,0.0,115,1710,41,7,8,43,Chick-fil-A,Salad
Spicy Southwest Salad with Chick-fil-A Filet,830,58.0,12.0,0.0,110,1960,37,7,8,38,Chick-fil-A,Salad
Spicy Southwest Salad with Grilled Filet (Cold),680,48.0,10.0,0.0,110,1220,26,7,7,35,Chick-fil-A,Salad
Spicy Southwest Salad with Grilled Filet (Warm),680,48.0,10.0,0.0,110,1220,26,7,7,35,Chick-fil-A,Salad
Spicy Southwest Salad with Grilled Nuggets,700,49.0,10.0,0.0,125,1290,26,7,7,39,Chick-fil-A,Salad
Spicy Southwest Salad with No Chicken,570,47.0,10.0,0.0,35,850,25,7,6,14,Chick-fil-A,Chicken
Spicy Southwest Salad with Nuggets,830,58.0,12.0,0.0,120,2060,36,7,7,40,Chick-fil-A,Salad
Spicy Southwest Salad with Spicy Filet,850,60.0,12.0,0.0,105,2230,41,8,8,37,Chick-fil-A,Salad
Spicy Southwest Salad with Spicy Grilled Filet (Cold),680,49.0,10.0,0.0,100,1570,27,7,7,33,Chick-fil-A,Salad
Buddy Fruits Apple Sauce,45,0.0,0.0,0.0,0,0,12,1,8,0,Chick-fil-A,Other
"Chick-fil-A Waffle Potato Fries, Large",600,35.0,5.0,0.0,0,340,65,7,1,7,Chick-fil-A,Side
"Chick-fil-A Waffle Potato Fries, Medium",420,24.0,4.0,0.0,0,240,45,5,1,5,Chick-fil-A,Side
"Chick-fil-A Waffle Potato Fries, Small",320,19.0,3.0,0.0,0,190,35,4,1,4,Chick-fil-A,Side
"Chicken Noodle Soup, Bowl",280,6.0,2.0,0.0,55,2060,38,2,2,17,Chick-fil-A,Chicken
"Chicken Noodle Soup, Cup",170,4.0,1.0,0.0,30,1220,25,1,1,10,Chick-fil-A,Chicken
"Chicken Tortilla Soup, Bowl",580,16.0,5.0,0.0,90,1980,65,31,7,44,Chick-fil-A,Chicken
"Chicken Tortilla Soup, Cup",340,11.0,3.0,0.0,50,1070,38,17,4,24,Chick-fil-A,Chicken
Kale Crunch Side,170,12.0,1.5,0.0,0,250,13,4,8,4,Chick-fil-A,Side
"Mac & Cheese, Large",840,53.0,30.0,0.5,130,2230,53,5,6,38,Chick-fil-A,Other
"Mac & Cheese, Medium",450,29.0,16.0,0.0,70,1190,28,3,3,20,Chick-fil-A,Other
"Mac & Cheese, Small",270,17.0,10.0,0.0,40,710,17,2,2,12,Chick-fil-A,Other
