Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category
Oven Roasted Turkey & Ham Salad,110,3.0,1.0,0.0,25,550,11,4,5,13,Subway,Salad
Oven Roasted Turkey Salad,110,3.0,0.0,0.0,25,530,10,4,5,14,Subway,Salad
Pizza Sub Salad,310,23.0,10.0,1.0,60,1200,16,5,8,14,Subway,Salad
Roast Beef Salad,150,4.0,1.0,0.0,40,500,12,4,6,17,Subway,Salad
Rotisserie-Style Chicken Salad,150,5.0,2.0,0.0,50,470,10,4,5,18,Subway,Chicken
Steak with American Cheese Salad,210,9.0,4.0,0.0,65,740,12,4,6,22,Subway,Salad
Tuna Salad,310,24.0,4.0,0.0,40,390,10,4,5,15,Subway,Salad
Veggie Delite Salad,50,1.0,0.0,0.0,0,75,9,4,5,3,Subway,Salad
Veggie Patty Salad,220,10.0,1.0,0.0,0,390,26,12,7,9,Subway,Salad
#1 The Philly Protein Bowl,620,46.0,16.0,1.0,170,1900,13,3,6,43,Subway,Other
#10 All-American Club Protein Bowl,690,53.0,18.0,1.0,150,2330,15,3,9,40,Subway,Other
#11 Subway Club Protein Bowl,410,21.0,11.0,1.0,135,2280,16,3,9,44,Subway,Sandwich
#15 Titan Turkey Protein Bowl,590,42.0,14.0,2.0,130,1890,10,4,5,45,Subway,Other
#16 All-Pro Sweet Onion Chicken Protein Bowl,480,18.0,10.0,1.0,140,1870,41,3,33,42,Subway,Chicken
#18 The Ultimate B.M.T. Protein Bowl,730,57.0,22.0,1.0,145,2450,16,3,7,40,Subway,Other
#20 Elite Chicken & Bacon Ranch Protein Bowl,760,55.0,19.0,1.0,205,1750,14,4,7,55,Subway,Chicken
#23 The Hotshot Italiano Protein Bowl,860,73.0,27.0,2.0,165,2800,15,3,6,39,Subway,Other
#30 The Beast Protein Bowl,"1,080",84.0,27.0,2.0,230,3450,19,3,9,65,Subway,Other
#99 Homerun Ham Protein Bowl,620,44.0,14.0,1.0,135,1990,15,3,7,43,Subway,Other
B.L.T. Protein Bowl,360,26.0,9.0,0.0,65,760,10,3,6,22,Subway,Other
Big Hot Pastrami Protein Bowl,680,52.0,18.0,0.0,165,2670,15,5,7,45,Subway,Other
Black Forest Ham Protein Bowl,170,5.0,2.0,0.0,55,1050,12,3,6,21,Subway,Other
Buffalo Chicken with Grilled Chicken Protein Bowl,380,21.0,4.0,0.0,115,2080,13,4,7,36,Subway,Chicken
Cold Cut Combo Protein Bowl,260,16.0,4.0,0.0,95,1310,9,3,5,20,Subway,Other
Grilled Chicken Protein Bowl,200,4.0,2.0,0.0,100,480,9,3,5,35,Subway,Chicken
Meatball Marinara Protein Bowl,560,37.0,14.0,0.0,75,1560,34,8,13,27,Subway,Other
Oven Roasted Turkey & Ham Protein Bowl,160,4.0,1.0,0.0,55,1010,10,3,6,22,Subway,Other
Oven Roasted Turkey Protein Bowl,150,4.0,1.0,1.0,50,970,8,3,5,23,Subway,Other
Pizza Sub Protein Bowl,610,48.0,22.0,1.0,135,1830,18,5,8,30,Subway,Sandwich
Roast Beef Protein Bowl,210,4.0,1.0,0.0,70,920,12,3,7,33,Subway,Other
Rotisserie-Style Chicken Protein Bowl,220,8.0,3.0,0.0,105,810,8,3,4,31,Subway,Chicken
Steak (Includes American Cheese) Protein Bowl,380,19.0,9.0,1.0,140,1150,12,4,5,42,Subway,Other
Tuna Protein Bowl,550,47.0,8.0,1.0,75,690,8,3,4,26,Subway,Other
Veggie Patty Protein Bowl,380,19.0,2.0,0.0,0,700,41,19,8,14,Subway,Other
"6"" Bacon, Egg & Cheese",510,27.0,9.0,0.0,270,990,42,2,4,24,Subway,Other
"6"" Bacon, Egg & Cheese Flatbread",440,27.0,8.0,0.0,270,820,28,1,3,21,Subway,Other
"6"" Black Forest Ham, Egg & Cheese",460,21.0,7.0,0.0,265,1060,43,2,4,24,Subway,Other
"6"" Black Forest Ham, Egg & Cheese Flatbread",400,22.0,6.0,0.0,265,900,28,1,3,21,Subway,Other
"6"" Egg & Cheese",430,20.0,6.0,0.0,250,810,42,2,3,19,Subway,Other
"6"" Egg & Cheese Flatbread",360,21.0,6.0,0.0,250,650,27,1,2,16,Subway,Other
"6"" Steak, Egg & Cheese",500,23.0,7.0,0.0,285,1080,43,2,4,29,Subway,Other
"6"" Steak, Egg & Cheese Flatbread",430,23.0,7.0,0.0,285,920,28,1,3,26,Subway,Other
"Bacon, Egg & Cheese Wrap",850,51.0,14.0,0.0,525,1430,55,2,6,41,Subway,Wrap
"Black Forest Ham, Egg & Cheese Wrap",750,40.0,10.0,0.0,520,1580,56,2,6,40,Subway,Wrap
Egg & Cheese Wrap,690,38.0,10.0,0.0,495,1090,54,2,5,31,Subway,Wrap
"Steak, Egg & Cheese Wrap",800,43.0,12.0,1.0,550,1540,56,2,5,47,Subway,Wrap
Bacon Pizza,780,28.0,12.0,1.0,65,1540,96,4,9,34,Subway,Other
Cheese Pizza,700,22.0,9.0,1.0,50,1370,95,4,8,29,Subway,Other
Meatball Pizza,810,31.0,13.0,1.0,70,1590,98,5,8,35,Subway,Other
Pepperoni Pizza,780,29.0,12.0,1.0,70,1660,96,5,8,33,Subway,Other
Ham & Jack Sliders,160,4.0,2.0,0.0,20,550,21,<1,2,10,Subway,Other
Italian Spice Sliders,250,15.0,5.0,0.0,30,740,21,<1,2,9,Subway,Other
Little Cheesesteak Sliders,180,7.0,3.0,0.0,20,450,21,1,2,8,Subway,Other
Turkey Sliders,210,9.0,3.0,0.0,25,570,20,1,2,11,Subway,Other
"6"" Artisan Italian Bread",210,2.0,1.0,0.0,0,380,39,1,3,8,Subway,Other
"6"" Everything Bagel-Seasoned Bread",210,3.0,1.0,0.0,0,710,38,2,3,8,Subway,Other
"6"" Ghost Pepper Bread",240,5.0,2.0,0.0,<5,710,41,2,3,9,Subway,Other
"6"" Hearty Multigrain Bread",200,3.0,0.0,0.0,0,350,36,3,4,9,Subway,Other
"6"" Honey Oat Bread",210,3.0,1.0,0.0,0,350,39,3,5,9,Subway,Other
"6"" Italian Herbs & Cheese Bread",250,5.0,2.0,0.0,10,580,42,2,3,10,Subway,Other
"6"" Jalapeno Cheddar Bread",240,5.0,2.0,0.0,<5,500,39,2,3,9,Subway,Other
Flatbread,140,3.0,0.0,0.0,0,220,24,<1,2,4,Subway,Other
Mini Artisan Italian Bread,140,2.0,1.0,0.0,0,250,26,<1,2,5,Subway,Other
Mini Hearty Multigrain Bread,130,2.0,0.0,0.0,0,230,24,2,2,6,Subway,Other
Wrap,280,5.0,1.0,0.0,0,440,49,2,3,9,Subway,Wrap
Baja Chipotle Sauce,70,7.0,1.0,0.0,<5,125,1,0,1,0,Subway,Other
BBQ Sauce,25,0.0,0.0,0.0,0,115,6,0,5,0,Subway,Other
Cheddar Cheese Sauce,30,3.0,2.0,0.0,<5,150,1,0,1,1,Subway,Other
Creamy Sriracha Sauce,40,4.0,1.0,0.0,<5,240,2,0,1,0,Subway,Other
Frank's RedHot Buffalo Sauce,5,0.0,0.0,0.0,0,350,1,0,0,0,Subway,Other
Giardiniera,80,9.0,2.0,0.0,0,340,1,0,1,0,Subway,Other
Honey Mustard Sauce,60,5.0,1.0,0.0,<5,125,3,0,3,0,Subway,Other
Mayonnaise,100,11.0,2.0,0.0,10,65,0,0,0,0,Subway,Other
MVP Parmesan Vinaigrette,60,6.0,1.0,0.0,0,140,1,0,1,0,Subway,Other
Olive Oil Blend,45,5.0,0.0,0.0,0,0,0,0,0,0,Subway,Other
Olive Oil Blend & Vinegar,45,5.0,0.0,0.0,0,0,0,0,0,0,Subway,Other
Peppercorn Ranch Sauce,80,8.0,2.0,0.0,<5,100,1,0,1,0,Subway,Other
Roasted Garlic Aioli,80,9.0,2.0,0.0,<5,150,1,0,1,0,Subway,Other
Subkrunch,70,5.0,0.0,0.0,0,45,6,0,0,1,Subway,Sandwich
Sweet Onion Teriyaki Sauce,30,0.0,0.0,0.0,0,130,7,0,6,0,Subway,Other
Yellow Mustard,10,1.0,0.0,0.0,0,170,1,0,0,0,Subway,Other
Salt,0,0.0,0.0,0.0,0,160,0,0,0,0,Subway,Other
"Avocado, Sliced",45,4.0,1.0,0.0,0,0,2,2,0,1,Subway,Other
"Avocado, Smashed",70,6.0,1.0,0.0,0,130,3,2,0,1,Subway,Other
Baby Spinach,0,0.0,0.0,0.0,0,5,0,0,0,0,Subway,Other
Banana Peppers,0,0.0,0.0,0.0,0,65,0,0,0,0,Subway,Other
Black Olives,0,0.0,0.0,0.0,0,25,0,0,0,0,Subway,Other
Cucumbers,0,0.0,0.0,0.0,0,0,1,0,0,0,Subway,Other
Green Chiles,5,0.0,0.0,0.0,0,95,1,<1,0,0,Subway,Other
Jalapeno Peppers,0,0.0,0.0,0.0,0,70,0,0,0,0,Subway,Other
Onions,0,0.0,0.0,0.0,0,0,1,0,0,0,Subway,Other
Pickles,0,0.0,0.0,0.0,0,160,0,0,0,0,Subway,Other
Tomatoes,5,0.0,0.0,0.0,0,0,1,0,1,0,Subway,Other
American,40,4.0,2.0,0.0,10,210,1,0,0,2,Subway,Other
Garlic Herb Cheese Spread,80,7.0,5.0,0.0,25,150,2,0,1,1,Subway,Other
Grated Parmesan,5,0.0,0.0,0.0,0,25,0,0,0,1,Subway,Other
Pepper Jack,50,4.0,3.0,0.0,15,240,1,0,0,3,Subway,Other
Provolone,50,4.0,2.0,0.0,10,125,0,0,0,4,Subway,Other
Shredded Monterey Cheddar,50,5.0,3.0,0.0,15,85,1,0,0,3,Subway,Other
"All-American Club Meats (Ham, Turkey, Bacon)",140,8.0,3.0,0.0,45,650,2,0,1,15,Subway,Other
Bacon,80,6.0,3.0,0.0,15,170,1,0,1,5,Subway,Other
Black Forest Ham,70,2.0,1.0,0.0,30,490,2,0,1,10,Subway,Other
Chicken Salad,380,31.0,6.0,0.0,105,800,1,0,1,25,Subway,Chicken
Cold Cut Combo Meats,110,8.0,1.0,0.0,45,620,1,0,1,9,Subway,Other
Egg Patty,180,15.0,4.0,0.0,240,220,2,0,0,10,Subway,Other
Genoa Salami,70,6.0,3.0,0.0,20,260,1,0,0,3,Subway,Other
Grilled Chicken,80,2.0,2.0,0.0,50,210,1,0,1,16,Subway,Chicken
"Grilled Chicken, Buffalo",90,2.0,1.0,0.0,50,900,2,0,1,17,Subway,Chicken
"Grilled Chicken, Sweet Onion Teriyaki Glazed",110,2.0,1.0,0.0,50,350,9,0,8,16,Subway,Chicken
Meatballs,250,18.0,7.0,0.0,35,720,13,2,5,12,Subway,Other
Oven Roasted Turkey,60,2.0,1.0,0.0,25,450,0,0,0,11,Subway,Other
Pastrami,130,10.0,3.0,0.0,35,470,1,0,1,9,Subway,Other
Pepperoni,80,7.0,3.0,0.0,20,290,1,0,0,3,Subway,Other
Roast Beef,80,2.0,1.0,0.0,35,420,2,0,2,15,Subway,Other
Rotisserie-Style Chicken,90,4.0,1.0,0.0,50,400,0,0,0,15,Subway,Chicken
Steak,110,5.0,2.0,0.0,55,450,2,0,1,17,Subway,Other
"Subway Club Meats (Turkey, Ham, Roast Beef)",110,3.0,1.0,0.0,45,690,3,0,2,17,Subway,Sandwich
Tuna,250,23.0,2.0,0.0,40,310,0,0,0,12,Subway,Other
Veggie Patty,170,9.0,1.0,0.0,0,320,17,8,2,6,Subway,Other
Applesauce,70,0.0,0.0,0.0,0,0,16,3,13,0,Subway,Other
Chocolate Chip Cookie,210,10.0,5.0,0.0,10,120,30,<1,18,2,Subway,Other
Double Chocolate Cookie,210,9.0,5.0,0.0,15,125,29,1,20,2,Subway,Other
Oatmeal Raisin Cookie,200,8.0,4.0,0.0,15,110,30,1,16,3,Subway,Other
Raspberry Cheesecake Cookie,210,9.0,5.0,0.0,15,115,29,0,16,2,Subway,Other
White Chip Macadamia Nut Cookie,210,10.0,5.0,0.0,15,125,28,<1,17,2,Subway,Other
Chicken & Cheese Dipper,400,13.0,5.0,0.0,45,960,51,2,4,21,Subway,Chicken
"Churro, Footlong",190,9.0,4.0,0.0,15,135,28,0,8,1,Subway,Other
"Cookie, Footlong, Oreo","1,210",54.0,24.0,1.0,85,830,182,8,96,14,Subway,Other
"Cookie, Footlong Chocolate Chip","1,330",61.0,32.0,1.0,95,690,181,8,101,14,Subway,Other
"Cookie, Footlong Double Chocolate Peppermint","1,330",61.0,33.0,1.0,100,730,177,9,107,15,Subway,Other
Doritos Footlong Nachos,550,39.0,11.0,1.0,45,980,38,3,4,13,Subway,Other
Doritos Footlong Nachos with Chicken,590,41.0,11.0,1.0,70,1180,38,3,4,20,Subway,Chicken
Doritos Footlong Nachos with Sliced Avocado,590,43.0,11.0,1.0,45,980,40,5,4,13,Subway,Other
Doritos Footlong Nachos with Smashed Avocado,600,44.0,11.0,1.0,45,980,41,5,5,13,Subway,Other
Doritos Footlong Nachos with Steak,600,41.0,11.0,1.0,75,1200,39,3,5,21,Subway,Other
Double Cheese Dipper,470,21.0,10.0,1.0,50,1030,52,2,4,19,Subway,Other
Footlong Pretzel,330,10.0,4.0,0.0,15,1340,53,7,9,10,Subway,Other
Hash Browns,190,9.0,3.0,0.0,0,600,24,3,1,3,Subway,Other
Pepperoni & Cheese Dipper,470,22.0,9.0,0.0,50,1250,51,2,4,17,Subway,Other
Broccoli Cheddar Soup,200,13.0,8.0,0.0,45,960,16,<1,7,9,Subway,Other
Chicken Noodle Soup,70,3.0,1.0,0.0,15,1160,6,<1,1,7,Subway,Chicken
Loaded Baked Potato with Bacon Soup,200,14.0,7.0,0.0,45,910,17,1,4,9,Subway,Other
Chicken & Cheese Dipper,400,13.0,5.0,0.0,45,960,51,2,4,21,Subway,Chicken
"Churro, Footlong",190,9.0,4.0,0.0,15,135,28,0,8,1,Subway,Other
"Cookie, Footlong, Oreo","1,210",54.0,24.0,1.0,85,830,182,8,96,14,Subway,Other
"Cookie, Footlong Chocolate Chip","1,330",61.0,32.0,1.0,95,690,181,8,101,14,Subway,Other
"Cookie, Footlong Double Chocolate Peppermint","1,330",61.0,33.0,1.0,100,730,177,9,107,15,Subway,Other
Doritos Footlong Nachos,550,39.0,11.0,1.0,45,980,38,3,4,13,Subway,Other
Doritos Footlong Nachos with Chicken,590,41.0,11.0,1.0,70,1180,38,3,4,20,Subway,Chicken
Doritos Footlong Nachos with Sliced Avocado,590,43.0,11.0,1.0,45,980,40,5,4,13,Subway,Other
Doritos Footlong Nachos with Smashed Avocado,600,44.0,11.0,1.0,45,980,41,5,5,13,Subway,Other
Doritos Footlong Nachos with Steak,600,41.0,11.0,1.0,75,1200,39,3,5,21,Subway,Other
Double Cheese Dipper,470,21.0,10.0,1.0,50,1030,52,2,4,19,Subway,Other
Footlong Pretzel,330,10.0,4.0,0.0,15,1340,53,7,9,10,Subway,Other
Hash Browns,190,9.0,3.0,0.0,0,600,24,3,1,3,Subway,Other
Pepperoni & Cheese Dipper,470,22.0,9.0,0.0,50,1250,51,2,4,17,Subway,Other
"Bacon, Egg & Cheese Biscuit",460,26.0,13.0,0.0,215,1330,39,2,3,17,McDonald's,Other
"Bacon, Egg & Cheese McGriddles",430,21.0,9.0,0.0,215,1230,44,2,15,17,McDonald's,Other
Big Breakfast,760,48.0,18.0,0.0,485,1530,57,3,3,26,McDonald's,Other
Big Breakfast with Hotcakes,"1,340",63.0,24.0,0.5,525,2070,158,5,48,36,McDonald's,Other
Egg McMuffin,310,13.0,6.0,0.0,250,770,30,2,3,17,McDonald's,Other
Fruit & Maple Oatmeal,320,4.5,1.5,0.0,<5,150,64,4,31,6,McDonald's,Other
Hash Browns,140,8.0,1.0,0.0,0,310,18,2,0,2,McDonald's,Other
Hotcakes,580,15.0,6.0,0.0,40,530,101,2,45,9,McDonald's,Other
Hotcakes and Sausage,770,33.0,12.0,0.0,75,810,102,2,46,15,McDonald's,Other
"Sausage, Egg & Cheese McGriddles",550,33.0,13.0,0.0,235,1290,44,2,15,19,McDonald's,Other
Sausage Biscuit,460,30.0,13.0,0.0,35,1090,37,2,2,11,McDonald's,Other
Sausage Biscuit with Egg,530,35.0,15.0,0.0,225,1190,38,2,3,17,McDonald's,Other
Sausage Burrito,310,17.0,7.0,0.0,170,800,25,1,2,13,McDonald's,Other
Sausage McGriddles,430,24.0,9.0,0.0,35,990,41,2,14,11,McDonald's,Other
Sausage McMuffin,400,26.0,10.0,0.5,55,760,29,2,2,14,McDonald's,Other
Sausage McMuffin with Egg,480,31.0,12.0,0.5,280,830,30,2,2,20,McDonald's,Other
Big Mac,590,34.0,11.0,1.0,85,1050,46,3,9,25,McDonald's,Other
Cheeseburger,300,13.0,6.0,0.5,40,720,32,2,7,15,McDonald's,Burger
Double Cheeseburger,450,24.0,11.0,1.5,85,1120,34,2,7,25,McDonald's,Burger
Double Quarter Pounder with Cheese,740,42.0,20.0,2.5,165,1360,43,2,10,48,McDonald's,Other
Hamburger,250,9.0,3.5,0.0,30,510,31,1,6,12,McDonald's,Burger
McDouble,400,20.0,9.0,1.0,70,920,33,2,7,22,McDonald's,Other
Quarter Pounder with Cheese,520,26.0,12.0,1.5,95,1140,42,2,10,30,McDonald's,Other
Quarter Pounder with Cheese Bacon,630,35.0,15.0,1.5,115,1470,43,3,10,36,McDonald's,Other
Quarter Pounder with Cheese Deluxe,630,37.0,14.0,1.5,105,1210,44,3,11,30,McDonald's,Other
Deluxe McCrispy,530,26.0,4.0,0.0,65,1050,48,2,10,27,McDonald's,Other
Filet-O-Fish,390,19.0,4.0,0.0,30,580,39,2,5,16,McDonald's,Fish
McChicken,400,21.0,3.5,0.0,40,560,39,1,5,14,McDonald's,Chicken
McCrispy,470,20.0,5.0,0.0,70,1140,46,1,9,26,McDonald's,Other
Spicy Deluxe McCrispy,530,26.0,4.0,0.0,65,1200,49,2,10,27,McDonald's,Other
Spicy McCrispy,530,26.0,4.0,0.0,65,1320,48,2,9,27,McDonald's,Other
"Chicken McNuggets, 4 Piece",170,10.0,1.5,0.0,25,330,10,0,0,9,McDonald's,Chicken
"Chicken McNuggets, 6 Piece",250,15.0,2.5,0.0,40,500,15,1,0,14,McDonald's,Chicken
"Chicken McNuggets, 10 Piece",410,24.0,4.0,0.0,65,850,26,1,0,23,McDonald's,Chicken
"Chicken McNuggets, 20 Piece",830,49.0,8.0,0.0,130,1670,51,2,0,46,McDonald's,Chicken
"Chicken McNuggets, 40 Piece","1,660",99.0,16.0,0.5,255,3350,102,4,0,92,McDonald's,Chicken
Apple Slices,15,0.0,0.0,0.0,0,0,4,0,3,0,McDonald's,Other
Creamy Ranch Sauce,110,12.0,2.0,0.0,<5,160,1,0,1,0,McDonald's,Other
Honey,50,0.0,0.0,0.0,0,0,12,0,11,0,McDonald's,Other
Honey Mustard Sauce,60,3.5,0.5,0.0,<5,125,6,1,4,0,McDonald's,Other
Ketchup Packet,10,0.0,0.0,0.0,0,90,2,0,2,0,McDonald's,Other
Mayonnaise Packet,90,10.0,1.5,0.0,10,60,0,0,0,0,McDonald's,Other
Mustard Packet,0,0.0,0.0,0.0,0,70,0,0,0,0,McDonald's,Other
Savory Chili WcDonald's Sauce (Limited Time),50,0.0,0.0,0.0,0,260,11,0,9,0,McDonald's,Other
Spicy Buffalo Sauce,30,3.0,0.0,0.0,0,520,1,0,0,0,McDonald's,Other
Sweet 'N Sour Sauce,50,0.0,0.0,0.0,0,160,11,0,10,0,McDonald's,Other
Tangy BBQ Sauce,45,0.0,0.0,0.0,0,260,11,0,9,0,McDonald's,Other
"World Famous Fries, Kids",110,5.0,0.5,0.0,0,90,15,1,0,2,McDonald's,Side
"World Famous Fries, Large",480,23.0,3.0,0.0,0,400,65,6,0,7,McDonald's,Side
"World Famous Fries, Medium",320,15.0,2.0,0.0,0,260,43,4,0,5,McDonald's,Side
"World Famous Fries, Small",230,11.0,1.5,0.0,0,190,31,3,0,3,McDonald's,Side
4 Piece Chicken McNuggets Happy Meal,400,17.0,3.5,0.0,35,500,41,1,14,19,McDonald's,Chicken
6 Piece Chicken McNuggets Happy Meal,480,22.0,4.5,0.0,50,670,46,2,14,24,McDonald's,Chicken
Hamburger Happy Meal,480,16.0,6.0,0.0,40,680,62,2,20,22,McDonald's,Burger
"Americano, Large",5,0.0,0.0,0.0,0,15,1,0,0,0,McDonald's,Other
"Americano, Medium",0,0.0,0.0,0.0,0,15,1,0,0,0,McDonald's,Other
"Americano, Small",0,0.0,0.0,0.0,0,10,0,0,0,0,McDonald's,Other
"Cappuccino, Large",210,10.0,6.0,0.0,40,130,18,0,14,11,McDonald's,Other
"Cappuccino, Medium",160,7.0,4.5,0.0,30,100,14,0,11,9,McDonald's,Other
"Cappuccino, Small",110,5.0,3.5,0.0,20,75,10,0,8,6,McDonald's,Other
"Caramel Cappuccino, Large",340,8.0,5.0,0.0,35,460,55,0,49,11,McDonald's,Other
"Caramel Cappuccino, Medium",260,6.0,3.5,0.0,25,370,44,0,39,8,McDonald's,Other
"Caramel Cappuccino, Small",210,4.5,3.0,0.0,20,290,35,0,31,7,McDonald's,Other
"Caramel Frappe, Large",350,26.0,17.0,1.0,80,115,94,1,84,11,McDonald's,Other
"Caramel Frappe, Medium",490,20.0,13.0,1.0,60,90,70,1,62,8,McDonald's,Other
"Caramel Frappe, Small",420,17.0,11.0,0.5,55,80,60,1,53,7,McDonald's,Other
"Caramel Latte, Large",390,11.0,6.0,0.0,45,490,60,0,53,14,McDonald's,Other
"Caramel Latte, Medium",320,8.0,5.0,0.0,35,410,50,0,43,11,McDonald's,Other
"Caramel Latte, Small",250,7.0,4.0,0.0,25,320,39,0,34,9,McDonald's,Other
"Caramel Macchiato, Large",400,10.0,6.0,0.0,40,490,60,0,53,14,McDonald's,Other
"Caramel Macchiato, Medium",320,8.0,5.0,0.0,30,400,51,0,44,11,McDonald's,Other
"Caramel Macchiato, Small",260,6.0,4.0,0.0,25,320,41,0,35,9,McDonald's,Other
"French Vanilla Cappuccino, Large",340,8.0,5.0,0.0,30,115,58,0,43,9,McDonald's,Other
"French Vanilla Cappuccino, Medium",260,6.0,3.5,0.0,25,80,47,0,34,7,McDonald's,Other
"French Vanilla Cappuccino, Small",210,4.5,3.0,0.0,20,65,37,0,28,5,McDonald's,Other
"French Vanilla Latte, Large",390,11.0,6.0,0.0,40,150,60,0,45,12,McDonald's,Other
"French Vanilla Latte, Medium",310,8.0,5.0,0.0,35,115,50,0,37,10,McDonald's,Other
"French Vanilla Latte, Small",250,6.0,4.0,0.0,25,90,39,0,29,8,McDonald's,Other
"Iced Caramel Coffee, Large",270,9.0,6.0,0.0,35,440,46,0,39,5,McDonald's,Other
"Iced Caramel Coffee, Medium",190,7.0,4.5,0.0,25,300,31,0,26,4,McDonald's,Other
"Iced Caramel Coffee, Small",140,5.0,3.5,0.0,20,220,23,0,20,3,McDonald's,Other
"Iced Caramel Latte, Large",330,8.0,4.5,0.0,30,460,55,0,48,11,McDonald's,Other
"Iced Caramel Latte, Medium",220,5.0,3.0,0.0,20,300,36,0,32,7,McDonald's,Other
"Iced Caramel Latte, Small",180,4.5,2.5,0.0,20,240,29,0,25,6,McDonald's,Other
"Iced Caramel Macchiato, Large",360,9.0,5.0,0.0,35,480,59,0,51,12,McDonald's,Other
"Iced Caramel Macchiato, Medium",240,6.0,3.5,0.0,25,320,41,0,35,8,McDonald's,Other
"Iced Caramel Macchiato, Small",200,5.0,3.0,0.0,20,250,33,0,28,7,McDonald's,Other
"Iced Coffee, Large",260,9.0,6.0,0.0,35,90,45,0,42,3,McDonald's,Other
"Iced Coffee, Medium",190,6.0,4.0,0.0,20,50,32,0,25,2,McDonald's,Other
"Iced Coffee, Small",140,5.0,3.5,0.0,20,50,24,0,22,2,McDonald's,Other
"Iced French Vanilla Coffee, Large",280,8.0,5.0,0.0,30,65,49,0,33,2,McDonald's,Other
"Iced French Vanilla Coffee, Medium",200,6.0,4.0,0.0,20,50,33,0,22,2,McDonald's,Other
"Iced French Vanilla Coffee, Small",150,5.0,3.0,0.0,15,35,25,0,17,1,McDonald's,Other
"Iced French Vanilla Latte, Large",330,8.0,4.5,0.0,30,115,57,0,42,9,McDonald's,Other
"Iced French Vanilla Latte, Medium",220,5.0,3.0,0.0,20,75,38,0,28,6,McDonald's,Other
"Iced French Vanilla Latte, Small",180,4.5,2.5,0.0,20,65,30,0,22,5,McDonald's,Other
"Iced Latte, Large",170,8.0,5.0,0.0,30,115,15,0,12,9,McDonald's,Other
"Iced Latte, Medium",120,6.0,3.5,0.0,20,90,10,0,9,6,McDonald's,Other
"Iced Latte, Small",90,4.5,2.5,0.0,15,65,7,0,7,4,McDonald's,Other
"Iced Mocha, Large",450,15.0,9.0,0.0,45,180,69,2,62,11,McDonald's,Other
"Iced Mocha, Medium",320,11.0,7.0,0.0,35,125,48,2,43,8,McDonald's,Other
"Iced Mocha, Small",280,10.0,6.0,0.0,35,110,39,1,35,7,McDonald's,Other
"Latte, Large",250,13.0,8.0,0.0,40,180,20,0,19,13,McDonald's,Other
"Latte, Medium",190,10.0,6.0,0.0,30,135,15,0,15,10,McDonald's,Other
"Latte, Small",140,8.0,4.5,0.0,25,100,12,0,11,7,McDonald's,Other
"Mocha Frappe, Large",660,26.0,17.0,1.0,95,190,97,1,81,11,McDonald's,Other
"Mocha Frappe, Medium",490,20.0,13.0,0.5,75,140,72,1,60,8,McDonald's,Other
"Mocha Frappe, Small",430,17.0,11.0,0.5,65,120,61,0,51,7,McDonald's,Other
"Mocha Latte, Large",470,16.0,9.0,0.0,45,200,70,2,64,13,McDonald's,Other
"Mocha Latte, Medium",380,12.0,7.0,0.0,35,150,57,2,52,10,McDonald's,Other
"Mocha Latte, Small",290,9.0,5.0,0.0,30,125,45,1,39,8,McDonald's,Other
"Premium Roast Coffee, Large",10,0.0,0.0,0.0,0,15,2,0,0,1,McDonald's,Other
"Premium Roast Coffee, Medium",10,0.0,0.0,0.0,0,10,1,0,0,1,McDonald's,Other
"Premium Roast Coffee, Small",5,0.0,0.0,0.0,0,10,1,0,0,0,McDonald's,Other
Baked Apple Pie,230,11.0,6.0,0.0,0,100,33,1,14,2,McDonald's,Other
Chocolate Chip Cookie,170,8.0,4.0,0.0,10,95,22,1,15,2,McDonald's,Other
"Chocolate Shake, Large",800,20.0,13.0,1.0,80,390,134,1,106,18,McDonald's,Other
"Chocolate Shake, Medium",650,17.0,11.0,1.0,65,310,107,1,85,15,McDonald's,Other
"Chocolate Shake, Small",520,14.0,9.0,0.5,55,250,85,1,67,12,McDonald's,Other
Hot Caramel Sundae,330,7.0,4.5,0.0,30,150,58,0,41,7,McDonald's,Other
Hot Fudge Sundae,330,10.0,7.0,0.0,25,170,51,2,44,8,McDonald's,Other
McFlurry with M&M's Candies,640,21.0,14.0,0.5,45,200,96,2,83,13,McDonald's,Other
McFlurry with OREO Cookies,510,16.0,8.0,0.5,40,260,80,1,60,12,McDonald's,Other
OREO Shamrock McFlurry (Limited Time),550,15.0,8.0,0.5,40,250,89,1,66,12,McDonald's,Other
"Shamrock Shake, Large (Limited Time)",800,20.0,13.0,1.0,80,260,135,0,103,18,McDonald's,Other
"Shamrock Shake, Medium (Limited Time)",540,15.0,9.0,0.5,60,180,87,0,68,12,McDonald's,Other
"Shamrock Shake, Small (Limited Time)",500,14.0,9.0,0.5,55,160,82,0,63,11,McDonald's,Other
"Strawberry Shake, Large",850,21.0,13.0,1.0,80,310,143,0,107,19,McDonald's,Other
"Strawberry Shake, Medium",600,16.0,10.0,0.5,60,210,99,0,74,13,McDonald's,Other
"Strawberry Shake, Small",470,13.0,8.0,0.5,50,160,77,0,58,10,McDonald's,Other
Vanilla Cone,200,5.0,3.0,0.0,20,80,33,0,23,5,McDonald's,Other
"Vanilla Shake, Large",780,19.0,12.0,1.0,75,360,133,0,85,17,McDonald's,Other
