Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size
Hash Brown Scramble Bowl with Nuggets,470.0,30.0,9.0,0.0,415.0,1350.0,19.0,2.0,2.0,29,Chick-Fil-A,6.170212765957447,"['Chicken', 'Breakfast', 'Combo']",N/A
"Hash Brown Scramble Bowl with Nuggets, No Hash Browns",320.0,20.0,8.0,0.0,415.0,1100.0,7.0,0.0,2.0,28,Chick-Fil-A,8.75,"['Chicken', 'Breakfast', 'Combo']",N/A
Hash Brown Scramble Bowl with Sausage,480.0,37.0,12.0,0.0,395.0,1020.0,15.0,2.0,1.0,23,Chick-Fil-A,4.791666666666667,"['Breakfast', 'Combo']",N/A
"Hash Brown Scramble Bowl with Sausage, No Hash Browns",340.0,27.0,11.0,0.0,395.0,780.0,2.0,0.0,1.0,21,Chick-Fil-A,6.176470588235294,"['Breakfast', 'Combo']",N/A
Hash Brown Scramble Bowl with Spicy Chicken,490.0,32.0,9.0,0.0,410.0,1470.0,22.0,2.0,2.0,28,Chick-Fil-A,5.714285714285714,"['Chicken', 'Breakfast', 'Combo']",N/A
"Hash Brown Scramble Bowl with Spicy Chicken, No Hash Browns",340.0,21.0,8.0,0.0,410.0,1230.0,10.0,1.0,2.0,27,Chick-Fil-A,7.941176470588235,"['Chicken', 'Breakfast', 'Combo']",N/A
Hash Brown Scramble Burrito with Bacon,680.0,42.0,14.0,0.5,395.0,1630.0,46.0,3.0,2.0,30,Chick-Fil-A,4.411764705882353,['Breakfast'],N/A
"Hash Brown Scramble Burrito with Bacon, No Hash Browns",540.0,32.0,13.0,0.5,395.0,1230.0,34.0,2.0,2.0,27,Chick-Fil-A,5.0,['Breakfast'],N/A
Hash Brown Scramble Burrito with Grilled Filet,650.0,36.0,12.0,0.5,420.0,1650.0,46.0,3.0,2.0,36,Chick-Fil-A,5.538461538461538,"['Chicken', 'Breakfast']",N/A
"Hash Brown Scramble Burrito with Grilled Filet, No Hash Brown",500.0,26.0,10.0,0.5,420.0,1410.0,34.0,2.0,2.0,35,Chick-Fil-A,7.000000000000001,"['Chicken', 'Breakfast']",N/A
