Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size,Protein Calories,Fat Calories,Sugar Calories,Calculated Total Calories,Calorie Difference,Percentage Difference
Subkrunch,70.0,5.0,0.0,0.0,0.0,45,6,0.0,0.0,1,Subway,1.4285714285714286,['Other'],N/A,4,45.0,0.0,49.0,-21.0,-0.3
Sweet Onion Teriyaki Sauce,30.0,0.0,0.0,0.0,0.0,130,7,0.0,6.0,0,Subway,0.0,"['Beverage', 'Side']",N/A,0,0.0,24.0,24.0,-6.0,-0.2
Yellow Mustard,10.0,1.0,0.0,0.0,0.0,170,1,0.0,0.0,0,Subway,0.0,['Other'],N/A,0,9.0,0.0,9.0,-1.0,-0.1
"Avocado, Sliced",45.0,4.0,1.0,0.0,0.0,0,2,2.0,0.0,1,Subway,2.2222222222222223,['Beverage'],N/A,4,36.0,0.0,40.0,-5.0,-0.1111111111111111
"Avocado, Smashed",70.0,6.0,1.0,0.0,0.0,130,3,2.0,0.0,1,Subway,1.4285714285714286,['Other'],N/A,4,54.0,0.0,58.0,-12.0,-0.17142857142857143
Green Chiles,5.0,0.0,0.0,0.0,0.0,95,1,,0.0,0,Subway,0.0,['Other'],N/A,0,0.0,0.0,0.0,-5.0,-1.0
Tomatoes,5.0,0.0,0.0,0.0,0.0,0,1,0.0,1.0,0,Subway,0.0,['Other'],N/A,0,0.0,4.0,4.0,-1.0,-0.2
American,40.0,4.0,2.0,0.0,10.0,210,1,0.0,0.0,2,Subway,5.0,['Other'],N/A,8,36.0,0.0,44.0,4.0,0.1
Garlic Herb Cheese Spread,80.0,7.0,5.0,0.0,25.0,150,2,0.0,1.0,1,Subway,1.25,['Other'],N/A,4,63.0,4.0,71.0,-9.0,-0.1125
Grated Parmesan,5.0,0.0,0.0,0.0,0.0,25,0,0.0,0.0,1,Subway,20.0,['Other'],N/A,4,0.0,0.0,4.0,-1.0,-0.2
Pepper Jack,50.0,4.0,3.0,0.0,15.0,240,1,0.0,0.0,3,Subway,6.0,['Other'],N/A,12,36.0,0.0,48.0,-2.0,-0.04
Provolone,50.0,4.0,2.0,0.0,10.0,125,0,0.0,0.0,4,Subway,8.0,['Other'],N/A,16,36.0,0.0,52.0,2.0,0.04
"All-American Club Meats (Ham, Turkey, Bacon)",140.0,8.0,3.0,0.0,45.0,650,2,0.0,1.0,15,Subway,10.714285714285714,['Breakfast'],N/A,60,72.0,4.0,136.0,-4.0,-0.02857142857142857
Bacon,80.0,6.0,3.0,0.0,15.0,170,1,0.0,1.0,5,Subway,6.25,['Breakfast'],N/A,20,54.0,4.0,78.0,-2.0,-0.025
Black Forest Ham,70.0,2.0,1.0,0.0,30.0,490,2,0.0,1.0,10,Subway,14.285714285714285,['Other'],N/A,40,18.0,4.0,62.0,-8.0,-0.11428571428571428
