Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size,Protein Calories,Fat Calories,Sugar Calories,Calculated Total Calories,Calorie Difference,Percentage Difference
"Iced Latte, Medium",120.0,6.0,3.5,0.0,20.0,90,10,0.0,9.0,6,Mcdonald'S,5.0,['Beverage'],Medium,24,54.0,36.0,114.0,-6.0,-0.05
"Iced Latte, Small",90.0,4.5,2.5,0.0,15.0,65,7,0.0,7.0,4,Mcdonald'S,4.444444444444445,['Beverage'],Small,16,40.5,28.0,84.5,-5.5,-0.06111111111111111
"Iced Mocha, Large",450.0,15.0,9.0,0.0,45.0,180,69,2.0,62.0,11,Mcdonald'S,2.4444444444444446,['Beverage'],Large,44,135.0,248.0,427.0,-23.0,-0.051111111111111114
"Iced Mocha, Medium",320.0,11.0,7.0,0.0,35.0,125,48,2.0,43.0,8,Mcdonald'S,2.5,['Beverage'],Medium,32,99.0,172.0,303.0,-17.0,-0.053125
"Iced Mocha, Small",280.0,10.0,6.0,0.0,35.0,110,39,1.0,35.0,7,Mcdonald'S,2.5,['Beverage'],Small,28,90.0,140.0,258.0,-22.0,-0.07857142857142857
"Latte, Large",250.0,13.0,8.0,0.0,40.0,180,20,0.0,19.0,13,Mcdonald'S,5.2,['Other'],Large,52,117.0,76.0,245.0,-5.0,-0.02
"Latte, Medium",190.0,10.0,6.0,0.0,30.0,135,15,0.0,15.0,10,Mcdonald'S,5.263157894736842,['Other'],Medium,40,90.0,60.0,190.0,0.0,0.0
"Latte, Small",140.0,8.0,4.5,0.0,25.0,100,12,0.0,11.0,7,Mcdonald'S,5.0,['Other'],Small,28,72.0,44.0,144.0,4.0,0.02857142857142857
"Mocha Frappe, Large",660.0,26.0,17.0,1.0,95.0,190,97,1.0,81.0,11,Mcdonald'S,1.6666666666666667,['Other'],Large,44,234.0,324.0,602.0,-58.0,-0.08787878787878788
"Mocha Frappe, Medium",490.0,20.0,13.0,0.5,75.0,140,72,1.0,60.0,8,Mcdonald'S,1.6326530612244898,['Other'],Medium,32,180.0,240.0,452.0,-38.0,-0.07755102040816327
"Mocha Frappe, Small",430.0,17.0,11.0,0.5,65.0,120,61,0.0,51.0,7,Mcdonald'S,1.627906976744186,['Other'],Small,28,153.0,204.0,385.0,-45.0,-0.10465116279069768
"Mocha Latte, Large",470.0,16.0,9.0,0.0,45.0,200,70,2.0,64.0,13,Mcdonald'S,2.7659574468085104,['Other'],Large,52,144.0,256.0,452.0,-18.0,-0.03829787234042553
"Mocha Latte, Medium",380.0,12.0,7.0,0.0,35.0,150,57,2.0,52.0,10,Mcdonald'S,2.631578947368421,['Other'],Medium,40,108.0,208.0,356.0,-24.0,-0.06315789473684211
"Mocha Latte, Small",290.0,9.0,5.0,0.0,30.0,125,45,1.0,39.0,8,Mcdonald'S,2.7586206896551726,['Other'],Small,32,81.0,156.0,269.0,-21.0,-0.07241379310344828
"Premium Roast Coffee, Large",10.0,0.0,0.0,0.0,0.0,15,2,0.0,0.0,1,Mcdonald'S,10.0,['Other'],Large,4,0.0,0.0,4.0,-6.0,-0.6
"Premium Roast Coffee, Medium",10.0,0.0,0.0,0.0,0.0,10,1,0.0,0.0,1,Mcdonald'S,10.0,['Other'],Medium,4,0.0,0.0,4.0,-6.0,-0.6
"Premium Roast Coffee, Small",5.0,0.0,0.0,0.0,0.0,10,1,0.0,0.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,0.0,0.0,-5.0,-1.0
Baked Apple Pie,230.0,11.0,6.0,0.0,0.0,100,33,1.0,14.0,2,Mcdonald'S,0.8695652173913043,['Other'],N/A,8,99.0,56.0,163.0,-67.0,-0.29130434782608694
Chocolate Chip Cookie,170.0,8.0,4.0,0.0,10.0,95,22,1.0,15.0,2,Mcdonald'S,1.1764705882352942,['Dessert'],N/A,8,72.0,60.0,140.0,-30.0,-0.17647058823529413
"Chocolate Shake, Large",800.0,20.0,13.0,1.0,80.0,390,134,1.0,106.0,18,Mcdonald'S,2.25,['Dessert'],Large,72,180.0,424.0,676.0,-124.0,-0.155
"Chocolate Shake, Medium",650.0,17.0,11.0,1.0,65.0,310,107,1.0,85.0,15,Mcdonald'S,2.307692307692308,['Dessert'],Medium,60,153.0,340.0,553.0,-97.0,-0.14923076923076922
"Chocolate Shake, Small",520.0,14.0,9.0,0.5,55.0,250,85,1.0,67.0,12,Mcdonald'S,2.307692307692308,['Dessert'],Small,48,126.0,268.0,442.0,-78.0,-0.15
Hot Caramel Sundae,330.0,7.0,4.5,0.0,30.0,150,58,0.0,41.0,7,Mcdonald'S,2.1212121212121215,['Other'],N/A,28,63.0,164.0,255.0,-75.0,-0.22727272727272727
Hot Fudge Sundae,330.0,10.0,7.0,0.0,25.0,170,51,2.0,44.0,8,Mcdonald'S,2.4242424242424243,['Other'],N/A,32,90.0,176.0,298.0,-32.0,-0.09696969696969697
McFlurry with M&M's Candies,640.0,21.0,14.0,0.5,45.0,200,96,2.0,83.0,13,Mcdonald'S,2.03125,['Other'],N/A,52,189.0,332.0,573.0,-67.0,-0.1046875
McFlurry with OREO Cookies,510.0,16.0,8.0,0.5,40.0,260,80,1.0,60.0,12,Mcdonald'S,2.3529411764705883,['Dessert'],N/A,48,144.0,240.0,432.0,-78.0,-0.15294117647058825
OREO Shamrock McFlurry (Limited Time),550.0,15.0,8.0,0.5,40.0,250,89,1.0,66.0,12,Mcdonald'S,2.181818181818182,['Other'],N/A,48,135.0,264.0,447.0,-103.0,-0.18727272727272729
"Shamrock Shake, Large (Limited Time)",800.0,20.0,13.0,1.0,80.0,260,135,0.0,103.0,18,Mcdonald'S,2.25,['Other'],Large,72,180.0,412.0,664.0,-136.0,-0.17
"Shamrock Shake, Medium (Limited Time)",540.0,15.0,9.0,0.5,60.0,180,87,0.0,68.0,12,Mcdonald'S,2.2222222222222223,['Other'],Medium,48,135.0,272.0,455.0,-85.0,-0.1574074074074074
"Shamrock Shake, Small (Limited Time)",500.0,14.0,9.0,0.5,55.0,160,82,0.0,63.0,11,Mcdonald'S,2.1999999999999997,['Other'],Small,44,126.0,252.0,422.0,-78.0,-0.156
"Strawberry Shake, Large",850.0,21.0,13.0,1.0,80.0,310,143,0.0,107.0,19,Mcdonald'S,2.235294117647059,['Other'],Large,76,189.0,428.0,693.0,-157.0,-0.18470588235294116
"Strawberry Shake, Medium",600.0,16.0,10.0,0.5,60.0,210,99,0.0,74.0,13,Mcdonald'S,2.166666666666667,['Other'],Medium,52,144.0,296.0,492.0,-108.0,-0.18
"Strawberry Shake, Small",470.0,13.0,8.0,0.5,50.0,160,77,0.0,58.0,10,Mcdonald'S,2.127659574468085,['Other'],Small,40,117.0,232.0,389.0,-81.0,-0.1723404255319149
Vanilla Cone,200.0,5.0,3.0,0.0,20.0,80,33,0.0,23.0,5,Mcdonald'S,2.5,['Other'],N/A,20,45.0,92.0,157.0,-43.0,-0.215
"Vanilla Shake, Large",780.0,19.0,12.0,1.0,75.0,360,133,0.0,85.0,17,Mcdonald'S,2.1794871794871793,['Other'],Large,68,171.0,340.0,579.0,-201.0,-0.25769230769230766
"Vanilla Shake, Medium",570.0,15.0,9.0,0.5,60.0,260,97,0.0,62.0,12,Mcdonald'S,2.1052631578947367,['Other'],Medium,48,135.0,248.0,431.0,-139.0,-0.24385964912280703
"Vanilla Shake, Small",480.0,13.0,8.0,0.5,50.0,210,80,0.0,51.0,10,Mcdonald'S,2.083333333333333,['Other'],Small,40,117.0,204.0,361.0,-119.0,-0.24791666666666667
1% Low Fat Milk Jug,100.0,2.0,1.5,0.0,10.0,80,12,0.0,11.0,8,Mcdonald'S,8.0,['Combo'],N/A,32,18.0,44.0,94.0,-6.0,-0.06
"Coca-Cola, Extra Small",110.0,0.0,0.0,0.0,0.0,30,28,0.0,28.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,112.0,112.0,2.0,0.01818181818181818
"Coca-Cola, Large",380.0,0.0,0.0,0.0,0.0,95,100,0.0,100.0,0,Mcdonald'S,0.0,['Other'],Large,0,0.0,400.0,400.0,20.0,0.05263157894736842
"Coca-Cola, Medium",210.0,0.0,0.0,0.0,0.0,55,56,0.0,56.0,0,Mcdonald'S,0.0,['Other'],Medium,0,0.0,224.0,224.0,14.0,0.06666666666666667
"Coca-Cola, Small",150.0,0.0,0.0,0.0,0.0,40,39,0.0,39.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,156.0,156.0,6.0,0.04
"Dr Pepper, Extra Small",100.0,0.0,0.0,0.0,0.0,35,27,0.0,27.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,108.0,108.0,8.0,0.08
"Dr Pepper, Large",280.0,0.0,0.0,0.0,0.0,90,75,1.0,73.0,0,Mcdonald'S,0.0,['Other'],Large,0,0.0,292.0,292.0,12.0,0.04285714285714286
"Dr Pepper, Medium",200.0,0.0,0.0,0.0,0.0,65,54,1.0,53.0,0,Mcdonald'S,0.0,['Other'],Medium,0,0.0,212.0,212.0,12.0,0.06
"Dr Pepper, Small",140.0,0.0,0.0,0.0,0.0,50,38,0.0,37.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,148.0,148.0,8.0,0.05714285714285714
"Fanta Orange, Large",300.0,0.0,0.0,0.0,0.0,80,78,0.0,76.0,0,Mcdonald'S,0.0,['Other'],Large,0,0.0,304.0,304.0,4.0,0.013333333333333334
"Fanta Orange, Medium",210.0,0.0,0.0,0.0,0.0,60,56,0.0,55.0,0,Mcdonald'S,0.0,['Other'],Medium,0,0.0,220.0,220.0,10.0,0.047619047619047616
"Fanta Orange, Small",150.0,0.0,0.0,0.0,0.0,40,39,0.0,38.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,152.0,152.0,2.0,0.013333333333333334
"Frozen Coca-Cola Classic, Large",110.0,0.0,0.0,0.0,0.0,45,29,0.0,29.0,0,Mcdonald'S,0.0,['Other'],Large,0,0.0,116.0,116.0,6.0,0.05454545454545454
"Frozen Coca-Cola Classic, Medium",80.0,0.0,0.0,0.0,0.0,30,21,0.0,21.0,0,Mcdonald'S,0.0,['Other'],Medium,0,0.0,84.0,84.0,4.0,0.05
"Frozen Coca-Cola Classic, Small",60.0,0.0,0.0,0.0,0.0,25,16,0.0,16.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,64.0,64.0,4.0,0.06666666666666667
"Frozen Fanta Blue Raspberry, Large",110.0,0.0,0.0,0.0,0.0,50,29,0.0,29.0,0,Mcdonald'S,0.0,['Other'],Large,0,0.0,116.0,116.0,6.0,0.05454545454545454
"Frozen Fanta Blue Raspberry, Medium",80.0,0.0,0.0,0.0,0.0,35,20,0.0,20.0,0,Mcdonald'S,0.0,['Other'],Medium,0,0.0,80.0,80.0,0.0,0.0
"Frozen Fanta Blue Raspberry, Small",60.0,0.0,0.0,0.0,0.0,30,16,0.0,16.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,64.0,64.0,4.0,0.06666666666666667
"Hi-C Orange Lavaburst, Extra Small",110.0,0.0,0.0,0.0,0.0,30,29,0.0,29.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,116.0,116.0,6.0,0.05454545454545454
"Hi-C Orange Lavaburst, Large",310.0,0.0,0.0,0.0,0.0,80,80,0.0,80.0,0,Mcdonald'S,0.0,['Other'],Large,0,0.0,320.0,320.0,10.0,0.03225806451612903
"Hi-C Orange Lavaburst, Medium",230.0,0.0,0.0,0.0,0.0,60,58,0.0,58.0,0,Mcdonald'S,0.0,['Other'],Medium,0,0.0,232.0,232.0,2.0,0.008695652173913044
"Hi-C Orange Lavaburst, Small",160.0,0.0,0.0,0.0,0.0,40,40,0.0,40.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,160.0,160.0,0.0,0.0
Honest Kids Appley Ever After Organic Juice Drink,35.0,0.0,0.0,0.0,0.0,15,8,0.0,8.0,0,Mcdonald'S,0.0,['Beverage'],N/A,0,0.0,32.0,32.0,-3.0,-0.08571428571428572
"Hot Chocolate, Large",560.0,20.0,12.0,0.5,60.0,260,76,2.0,71.0,17,Mcdonald'S,3.0357142857142856,['Dessert'],Large,68,180.0,284.0,532.0,-28.0,-0.05
"Hot Chocolate, Medium",450.0,15.0,9.0,0.5,55.0,220,66,1.0,58.0,14,Mcdonald'S,3.111111111111111,['Dessert'],Medium,56,135.0,232.0,423.0,-27.0,-0.06
"Hot Chocolate, Small",370.0,13.0,8.0,0.0,45.0,180,54,1.0,47.0,11,Mcdonald'S,2.9729729729729732,['Dessert'],Small,44,117.0,188.0,349.0,-21.0,-0.05675675675675676
"Hot Tea, Large",15.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,3,Mcdonald'S,20.0,['Beverage'],Large,12,0.0,0.0,12.0,-3.0,-0.2
"Hot Tea, Medium",10.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,2,Mcdonald'S,20.0,['Beverage'],Medium,8,0.0,0.0,8.0,-2.0,-0.2
"Hot Tea, Small",10.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,2,Mcdonald'S,20.0,['Beverage'],Small,8,0.0,0.0,8.0,-2.0,-0.2
"Lemonade, Large",320.0,0.0,0.0,0.0,0.0,20,81,0.0,75.0,0,Mcdonald'S,0.0,['Beverage'],Large,0,0.0,300.0,300.0,-20.0,-0.0625
"Lemonade, Medium",230.0,0.0,0.0,0.0,0.0,20,58,0.0,54.0,0,Mcdonald'S,0.0,['Beverage'],Medium,0,0.0,216.0,216.0,-14.0,-0.06086956521739131
"Lemonade, Small",150.0,0.0,0.0,0.0,0.0,10,37,0.0,34.0,0,Mcdonald'S,0.0,['Beverage'],Small,0,0.0,136.0,136.0,-14.0,-0.09333333333333334
"Mango Pineapple Smoothie, Large",340.0,1.0,0.5,0.0,,60,78,2.0,72.0,4,Mcdonald'S,1.1764705882352942,['Other'],Large,16,9.0,288.0,313.0,-27.0,-0.07941176470588235
"Mango Pineapple Smoothie, Medium",250.0,1.0,0.0,0.0,,45,57,1.0,52.0,3,Mcdonald'S,1.2,['Other'],Medium,12,9.0,208.0,229.0,-21.0,-0.084
"Mango Pineapple Smoothie, Small",200.0,0.5,0.0,0.0,,35,45,1.0,42.0,2,Mcdonald'S,1.0,['Other'],Small,8,4.5,168.0,180.5,-19.5,-0.0975
"Minute Maid Premium Orange Juice, Large",270.0,0.0,0.0,0.0,0.0,65,65,1.0,58.0,4,Mcdonald'S,1.4814814814814816,['Beverage'],Large,16,0.0,232.0,248.0,-22.0,-0.08148148148148149
"Minute Maid Premium Orange Juice, Medium",190.0,0.0,0.0,0.0,0.0,45,45,1.0,41.0,3,Mcdonald'S,1.5789473684210527,['Beverage'],Medium,12,0.0,164.0,176.0,-14.0,-0.07368421052631578
"Minute Maid Premium Orange Juice, Small",150.0,0.0,0.0,0.0,0.0,35,36,1.0,32.0,2,Mcdonald'S,1.3333333333333335,['Beverage'],Small,8,0.0,128.0,136.0,-14.0,-0.09333333333333334
Reduced Sugar Low Fat Chocolate Milk Jug,130.0,2.5,1.5,0.0,10.0,85,18,0.0,14.0,9,Mcdonald'S,6.923076923076923,['Dessert'],N/A,36,22.5,56.0,114.5,-15.5,-0.11923076923076924
"Sprite, Medium",200.0,0.0,0.0,0.0,0.0,100,51,0.0,51.0,0,Mcdonald'S,0.0,['Other'],Medium,0,0.0,204.0,204.0,4.0,0.02
"Sprite, Small",140.0,0.0,0.0,0.0,0.0,70,35,0.0,35.0,0,Mcdonald'S,0.0,['Other'],Small,0,0.0,140.0,140.0,0.0,0.0
"Strawberry Banana Smoothie, Large",330.0,1.0,0.5,0.0,,70,76,4.0,68.0,4,Mcdonald'S,1.2121212121212122,['Other'],Large,16,9.0,272.0,297.0,-33.0,-0.1
"Strawberry Banana Smoothie, Medium",240.0,1.0,0.0,0.0,,50,55,3.0,49.0,3,Mcdonald'S,1.25,['Other'],Medium,12,9.0,196.0,217.0,-23.0,-0.09583333333333334
"Strawberry Banana Smoothie, Small",190.0,0.5,0.0,0.0,,40,44,2.0,39.0,2,Mcdonald'S,1.0526315789473684,['Other'],Small,8,4.5,156.0,168.5,-21.5,-0.11315789473684211
"Sweet Tea, Extra Small",70.0,0.0,0.0,0.0,0.0,10,18,0.0,17.0,0,Mcdonald'S,0.0,['Beverage'],Small,0,0.0,68.0,68.0,-2.0,-0.02857142857142857
"Sweet Tea, Large",170.0,0.0,0.0,0.0,0.0,25,43,0.0,40.0,1,Mcdonald'S,0.5882352941176471,['Beverage'],Large,4,0.0,160.0,164.0,-6.0,-0.03529411764705882
"Sweet Tea, Medium",130.0,0.0,0.0,0.0,0.0,20,31,0.0,29.0,1,Mcdonald'S,0.7692307692307693,['Beverage'],Medium,4,0.0,116.0,120.0,-10.0,-0.07692307692307693
"Sweet Tea, Small",100.0,0.0,0.0,0.0,0.0,15,26,0.0,24.0,0,Mcdonald'S,0.0,['Beverage'],Small,0,0.0,96.0,96.0,-4.0,-0.04
