Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Impossible Whopper,630,34,10,0,15,1350,62,6,14,29
Rodeo Burger,340,13,4.5,0,35,500,41,2,10,16
Rodeo Cheeseburger,380,17,7,0,45,700,42,2,10,17
Steakhouse Bacon Whopper,890,53,19,1,130,1750,66,6,16,45
Texas Double Whopper,"1,090",75,25,2,195,2050,57,4,12,61
Triple Whopper,"1,170",80,27,1.5,235,1300,56,3,14,73
Triple Whopper with Bacon,"1,260",87,29,2,250,1560,56,4,14,79
Triple Whopper with Bacon & Cheese,"1,350",94,33,2.5,270,1990,60,4,15,83
Triple Whopper with Cheese,"1,300",90,33,2.5,265,1940,59,4,15,78
Whopper,670,41,12,0,85,1170,54,3,14,32
Whopper Jr.,330,19,5,0,35,560,30,2,7,15
Whopper Jr. with Bacon,380,24,7,0,50,730,30,2,7,19
Whopper Jr. with Bacon & Cheese,420,27,9,0,60,950,32,2,9,20
Whopper Jr. with Cheese,380,24,8,0,50,780,31,2,9,17
Whopper with Bacon,750,49,13,1,100,1430,55,3,14,38
Whopper with Bacon & Cheese,820,53,18,1,115,1850,58,3,16,41
Whopper with Cheese,770,51,15,1.5,110,1610,58,3,15,37
Bacon and Swiss Royal Crispy Chicken,740,45,11,0,110,1920,56,4,11,39
Big Fish,570,30,5,0,50,1270,58,3,8,19
"Chicken Fries, 4 Piece",110,6,1.5,0,20,330,8,0,0,7
"Chicken Fries, 8 Piece",220,12,2.5,0,40,680,16,1,0,13
"Chicken Fries, 12 Piece",340,18,4,0,60,1030,25,1,0,20
Chicken Jr.,440,27,5,0,40,700,39,2,5,13
"Chicken Nuggets, 4 Piece",190,12,2.5,0,30,490,12,1,0,9
"Chicken Nuggets, 8 Piece",390,25,5,0,55,990,23,2,0,18
"Chicken Nuggets, 16 Piece",770,49,10,0,110,1980,45,3,0,37
Fiery Big Fish,730,46,8,0,55,1530,61,3,11,19
