Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category,Protein per 100 Cal
Chick-fil-A Deluxe Sandwich with No Cheese,430.0,18.0,3.5,0.0,70.0,1470,43,1.0,7.0,29,Chick-Fil-A,Sandwich,6.744186046511628
Chick-fil-A Deluxe Sandwich with Pepper Jack,510.0,24.0,7.0,0.0,90.0,1610,43,1.0,7.0,34,Chick-Fil-A,Sandwich,6.666666666666667
"Chick-fil-A Nuggets, 5 ct",160.0,7.0,1.5,0.0,50.0,760,7,0.0,1.0,17,Chick-Fil-A,Other,10.625
"Chick-fil-A Nuggets, 8 ct",250.0,11.0,2.5,0.0,85.0,1210,11,0.0,1.0,27,Chick-Fil-A,Other,10.8
"Chick-fil-A Nuggets, 12 ct",380.0,17.0,3.5,0.0,125.0,1820,16,0.0,1.0,40,Chick-Fil-A,Other,10.526315789473683
"Chick-fil-A Nuggets, 30 ct",950.0,43.0,9.0,0.0,315.0,4550,41,0.0,4.0,100,Chick-Fil-A,Other,10.526315789473683
"Chick-fil-A Nuggets Football-Shaped Tray, 30 ct",950.0,43.0,9.0,0.0,315.0,4550,41,0.0,4.0,100,Chick-Fil-A,Other,10.526315789473683
Grilled Chicken Club with American,490.0,19.0,6.0,0.0,100.0,1150,45,3.0,12.0,34,Chick-Fil-A,Chicken,6.938775510204081
Grilled Chicken Club with Colby Jack,520.0,22.0,8.0,0.0,105.0,1130,45,3.0,12.0,37,Chick-Fil-A,Chicken,7.115384615384615
Grilled Chicken Club with No Cheese,440.0,15.0,4.0,0.0,85.0,910,45,3.0,11.0,31,Chick-Fil-A,Chicken,7.045454545454545
Grilled Chicken Club with Pepper Jack,520.0,21.0,8.0,0.0,105.0,1050,45,3.0,11.0,36,Chick-Fil-A,Chicken,6.923076923076923
Grilled Chicken Sandwich,390.0,11.0,2.5,0.0,75.0,770,45,3.0,11.0,28,Chick-Fil-A,Chicken,7.179487179487179
"Grilled Nuggets, 5 ct",80.0,2.0,0.0,0.0,55.0,270,1,0.0,0.0,16,Chick-Fil-A,Other,20.0
"Grilled Nuggets, 8 ct",130.0,3.0,0.5,0.0,85.0,440,1,0.0,1.0,25,Chick-Fil-A,Other,19.230769230769234
"Grilled Nuggets, 12 ct",200.0,4.5,1.0,0.0,130.0,660,2,0.0,1.0,38,Chick-Fil-A,Other,19.0
"Grilled Nuggets, 30 ct",510.0,11.0,3.0,0.0,335.0,1710,4,1.0,3.0,98,Chick-Fil-A,Other,19.215686274509807
Spicy Chicken Sandwich,450.0,19.0,4.0,0.0,65.0,1730,45,1.0,6.0,28,Chick-Fil-A,Chicken,6.222222222222222
Spicy Deluxe Sandwich with American,510.0,23.0,6.0,0.0,80.0,1970,47,2.0,7.0,31,Chick-Fil-A,Sandwich,6.078431372549019
Spicy Deluxe Sandwich with Colby Jack,540.0,26.0,8.0,0.0,85.0,1880,47,2.0,7.0,34,Chick-Fil-A,Sandwich,6.296296296296296
Spicy Deluxe Sandwich with No Cheese,460.0,19.0,4.0,0.0,65.0,1730,46,2.0,7.0,28,Chick-Fil-A,Sandwich,6.086956521739131
Spicy Deluxe Sandwich with Pepper Jack,520.0,25.0,7.0,0.0,80.0,1790,46,2.0,7.0,31,Chick-Fil-A,Sandwich,5.961538461538462
Cobb Salad,830.0,60.0,13.0,0.0,230.0,2220,31,5.0,8.0,42,Chick-Fil-A,Salad,5.0602409638554215
Cobb Salad with Chick-fil-A Chick-n-Strips,890.0,63.0,13.0,0.0,220.0,1880,37,5.0,9.0,44,Chick-Fil-A,Salad,4.943820224719101
Cobb Salad with Chick-fil-A Filet,830.0,60.0,13.0,0.0,215.0,2130,33,5.0,9.0,39,Chick-Fil-A,Salad,4.698795180722891
Cobb Salad with Grilled Filet (Cold),690.0,50.0,11.0,0.0,220.0,1390,22,5.0,8.0,36,Chick-Fil-A,Salad,5.217391304347826
Cobb Salad with Grilled Filet (Warm),690.0,50.0,11.0,0.0,215.0,1380,22,5.0,8.0,36,Chick-Fil-A,Salad,5.217391304347826
Cobb Salad with Grilled Nuggets,710.0,52.0,11.0,0.0,230.0,1450,22,6.0,8.0,40,Chick-Fil-A,Salad,5.633802816901409
Cobb Salad with No Chicken,580.0,49.0,11.0,0.0,145.0,1010,21,5.0,7.0,15,Chick-Fil-A,Chicken,2.586206896551724
