Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category,Protein per 100 Cal
MVP Parmesan Vinaigrette,60.0,6.0,1.0,0.0,0.0,140,1,0.0,1.0,0,Subway,Other,0.0
Olive Oil Blend,45.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0,Subway,Other,0.0
Olive Oil Blend & Vinegar,45.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0,Subway,Other,0.0
Peppercorn Ranch Sauce,80.0,8.0,2.0,0.0,,100,1,0.0,1.0,0,Subway,Other,0.0
Roasted Garlic Aioli,80.0,9.0,2.0,0.0,,150,1,0.0,1.0,0,Subway,Other,0.0
Subkrunch,70.0,5.0,0.0,0.0,0.0,45,6,0.0,0.0,1,Subway,Sandwich,1.4285714285714286
Sweet Onion Teriyaki Sauce,30.0,0.0,0.0,0.0,0.0,130,7,0.0,6.0,0,Subway,Other,0.0
Yellow Mustard,10.0,1.0,0.0,0.0,0.0,170,1,0.0,0.0,0,Subway,Other,0.0
Salt,0.0,0.0,0.0,0.0,0.0,160,0,0.0,0.0,0,Subway,Other,
"Avocado, Sliced",45.0,4.0,1.0,0.0,0.0,0,2,2.0,0.0,1,Subway,Other,2.2222222222222223
"Avocado, Smashed",70.0,6.0,1.0,0.0,0.0,130,3,2.0,0.0,1,Subway,Other,1.4285714285714286
Baby Spinach,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0,Subway,Other,
Banana Peppers,0.0,0.0,0.0,0.0,0.0,65,0,0.0,0.0,0,Subway,Other,
Black Olives,0.0,0.0,0.0,0.0,0.0,25,0,0.0,0.0,0,Subway,Other,
Cucumbers,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,Subway,Other,
Green Chiles,5.0,0.0,0.0,0.0,0.0,95,1,,0.0,0,Subway,Other,0.0
Jalapeno Peppers,0.0,0.0,0.0,0.0,0.0,70,0,0.0,0.0,0,Subway,Other,
Onions,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,Subway,Other,
Pickles,0.0,0.0,0.0,0.0,0.0,160,0,0.0,0.0,0,Subway,Other,
Tomatoes,5.0,0.0,0.0,0.0,0.0,0,1,0.0,1.0,0,Subway,Other,0.0
American,40.0,4.0,2.0,0.0,10.0,210,1,0.0,0.0,2,Subway,Other,5.0
Garlic Herb Cheese Spread,80.0,7.0,5.0,0.0,25.0,150,2,0.0,1.0,1,Subway,Other,1.25
Grated Parmesan,5.0,0.0,0.0,0.0,0.0,25,0,0.0,0.0,1,Subway,Other,20.0
Pepper Jack,50.0,4.0,3.0,0.0,15.0,240,1,0.0,0.0,3,Subway,Other,6.0
Provolone,50.0,4.0,2.0,0.0,10.0,125,0,0.0,0.0,4,Subway,Other,8.0
Shredded Monterey Cheddar,50.0,5.0,3.0,0.0,15.0,85,1,0.0,0.0,3,Subway,Other,6.0
"All-American Club Meats (Ham, Turkey, Bacon)",140.0,8.0,3.0,0.0,45.0,650,2,0.0,1.0,15,Subway,Other,10.714285714285714
Bacon,80.0,6.0,3.0,0.0,15.0,170,1,0.0,1.0,5,Subway,Other,6.25
Black Forest Ham,70.0,2.0,1.0,0.0,30.0,490,2,0.0,1.0,10,Subway,Other,14.285714285714285
Chicken Salad,380.0,31.0,6.0,0.0,105.0,800,1,0.0,1.0,25,Subway,Chicken,6.578947368421052
Cold Cut Combo Meats,110.0,8.0,1.0,0.0,45.0,620,1,0.0,1.0,9,Subway,Other,8.181818181818182
Egg Patty,180.0,15.0,4.0,0.0,240.0,220,2,0.0,0.0,10,Subway,Other,5.555555555555555
Genoa Salami,70.0,6.0,3.0,0.0,20.0,260,1,0.0,0.0,3,Subway,Other,4.285714285714286
Grilled Chicken,80.0,2.0,2.0,0.0,50.0,210,1,0.0,1.0,16,Subway,Chicken,20.0
"Grilled Chicken, Buffalo",90.0,2.0,1.0,0.0,50.0,900,2,0.0,1.0,17,Subway,Chicken,18.88888888888889
"Grilled Chicken, Sweet Onion Teriyaki Glazed",110.0,2.0,1.0,0.0,50.0,350,9,0.0,8.0,16,Subway,Chicken,14.545454545454545
Meatballs,250.0,18.0,7.0,0.0,35.0,720,13,2.0,5.0,12,Subway,Other,4.8
Oven Roasted Turkey,60.0,2.0,1.0,0.0,25.0,450,0,0.0,0.0,11,Subway,Other,18.333333333333332
Pastrami,130.0,10.0,3.0,0.0,35.0,470,1,0.0,1.0,9,Subway,Other,6.923076923076923
Pepperoni,80.0,7.0,3.0,0.0,20.0,290,1,0.0,0.0,3,Subway,Other,3.75
Roast Beef,80.0,2.0,1.0,0.0,35.0,420,2,0.0,2.0,15,Subway,Other,18.75
Rotisserie-Style Chicken,90.0,4.0,1.0,0.0,50.0,400,0,0.0,0.0,15,Subway,Chicken,16.666666666666664
Steak,110.0,5.0,2.0,0.0,55.0,450,2,0.0,1.0,17,Subway,Other,15.454545454545453
"Subway Club Meats (Turkey, Ham, Roast Beef)",110.0,3.0,1.0,0.0,45.0,690,3,0.0,2.0,17,Subway,Sandwich,15.454545454545453
Tuna,250.0,23.0,2.0,0.0,40.0,310,0,0.0,0.0,12,Subway,Other,4.8
Veggie Patty,170.0,9.0,1.0,0.0,0.0,320,17,8.0,2.0,6,Subway,Other,3.5294117647058822
Applesauce,70.0,0.0,0.0,0.0,0.0,0,16,3.0,13.0,0,Subway,Other,0.0
Chocolate Chip Cookie,210.0,10.0,5.0,0.0,10.0,120,30,,18.0,2,Subway,Other,0.9523809523809524
Double Chocolate Cookie,210.0,9.0,5.0,0.0,15.0,125,29,1.0,20.0,2,Subway,Other,0.9523809523809524
Oatmeal Raisin Cookie,200.0,8.0,4.0,0.0,15.0,110,30,1.0,16.0,3,Subway,Other,1.5
Raspberry Cheesecake Cookie,210.0,9.0,5.0,0.0,15.0,115,29,0.0,16.0,2,Subway,Other,0.9523809523809524
White Chip Macadamia Nut Cookie,210.0,10.0,5.0,0.0,15.0,125,28,,17.0,2,Subway,Other,0.9523809523809524
Chicken & Cheese Dipper,400.0,13.0,5.0,0.0,45.0,960,51,2.0,4.0,21,Subway,Chicken,5.25
"Churro, Footlong",190.0,9.0,4.0,0.0,15.0,135,28,0.0,8.0,1,Subway,Other,0.5263157894736842
Doritos Footlong Nachos,550.0,39.0,11.0,1.0,45.0,980,38,3.0,4.0,13,Subway,Other,2.3636363636363638
Doritos Footlong Nachos with Chicken,590.0,41.0,11.0,1.0,70.0,1180,38,3.0,4.0,20,Subway,Chicken,3.389830508474576
Doritos Footlong Nachos with Sliced Avocado,590.0,43.0,11.0,1.0,45.0,980,40,5.0,4.0,13,Subway,Other,2.2033898305084745
Doritos Footlong Nachos with Smashed Avocado,600.0,44.0,11.0,1.0,45.0,980,41,5.0,5.0,13,Subway,Other,2.166666666666667
Doritos Footlong Nachos with Steak,600.0,41.0,11.0,1.0,75.0,1200,39,3.0,5.0,21,Subway,Other,3.5000000000000004
Double Cheese Dipper,470.0,21.0,10.0,1.0,50.0,1030,52,2.0,4.0,19,Subway,Other,4.042553191489362
Footlong Pretzel,330.0,10.0,4.0,0.0,15.0,1340,53,7.0,9.0,10,Subway,Other,3.0303030303030303
Hash Browns,190.0,9.0,3.0,0.0,0.0,600,24,3.0,1.0,3,Subway,Other,1.5789473684210527
Pepperoni & Cheese Dipper,470.0,22.0,9.0,0.0,50.0,1250,51,2.0,4.0,17,Subway,Other,3.6170212765957444
Broccoli Cheddar Soup,200.0,13.0,8.0,0.0,45.0,960,16,,7.0,9,Subway,Other,4.5
Chicken Noodle Soup,70.0,3.0,1.0,0.0,15.0,1160,6,,1.0,7,Subway,Chicken,10.0
Loaded Baked Potato with Bacon Soup,200.0,14.0,7.0,0.0,45.0,910,17,1.0,4.0,9,Subway,Other,4.5
Chicken & Cheese Dipper,400.0,13.0,5.0,0.0,45.0,960,51,2.0,4.0,21,Subway,Chicken,5.25
"Churro, Footlong",190.0,9.0,4.0,0.0,15.0,135,28,0.0,8.0,1,Subway,Other,0.5263157894736842
Doritos Footlong Nachos,550.0,39.0,11.0,1.0,45.0,980,38,3.0,4.0,13,Subway,Other,2.3636363636363638
Doritos Footlong Nachos with Chicken,590.0,41.0,11.0,1.0,70.0,1180,38,3.0,4.0,20,Subway,Chicken,3.389830508474576
Doritos Footlong Nachos with Sliced Avocado,590.0,43.0,11.0,1.0,45.0,980,40,5.0,4.0,13,Subway,Other,2.2033898305084745
Doritos Footlong Nachos with Smashed Avocado,600.0,44.0,11.0,1.0,45.0,980,41,5.0,5.0,13,Subway,Other,2.166666666666667
Doritos Footlong Nachos with Steak,600.0,41.0,11.0,1.0,75.0,1200,39,3.0,5.0,21,Subway,Other,3.5000000000000004
Double Cheese Dipper,470.0,21.0,10.0,1.0,50.0,1030,52,2.0,4.0,19,Subway,Other,4.042553191489362
Footlong Pretzel,330.0,10.0,4.0,0.0,15.0,1340,53,7.0,9.0,10,Subway,Other,3.0303030303030303
Hash Browns,190.0,9.0,3.0,0.0,0.0,600,24,3.0,1.0,3,Subway,Other,1.5789473684210527
Pepperoni & Cheese Dipper,470.0,22.0,9.0,0.0,50.0,1250,51,2.0,4.0,17,Subway,Other,3.6170212765957444
"Bacon, Egg & Cheese Biscuit",460.0,26.0,13.0,0.0,215.0,1330,39,2.0,3.0,17,Mcdonald'S,Other,3.6956521739130435
"Bacon, Egg & Cheese McGriddles",430.0,21.0,9.0,0.0,215.0,1230,44,2.0,15.0,17,Mcdonald'S,Other,3.953488372093023
Big Breakfast,760.0,48.0,18.0,0.0,485.0,1530,57,3.0,3.0,26,Mcdonald'S,Other,3.421052631578948
Egg McMuffin,310.0,13.0,6.0,0.0,250.0,770,30,2.0,3.0,17,Mcdonald'S,Other,5.483870967741936
Fruit & Maple Oatmeal,320.0,4.5,1.5,0.0,,150,64,4.0,31.0,6,Mcdonald'S,Other,1.875
Hash Browns,140.0,8.0,1.0,0.0,0.0,310,18,2.0,0.0,2,Mcdonald'S,Other,1.4285714285714286
Hotcakes,580.0,15.0,6.0,0.0,40.0,530,101,2.0,45.0,9,Mcdonald'S,Other,1.5517241379310345
Hotcakes and Sausage,770.0,33.0,12.0,0.0,75.0,810,102,2.0,46.0,15,Mcdonald'S,Other,1.948051948051948
"Sausage, Egg & Cheese McGriddles",550.0,33.0,13.0,0.0,235.0,1290,44,2.0,15.0,19,Mcdonald'S,Other,3.4545454545454546
Sausage Biscuit,460.0,30.0,13.0,0.0,35.0,1090,37,2.0,2.0,11,Mcdonald'S,Other,2.391304347826087
Sausage Biscuit with Egg,530.0,35.0,15.0,0.0,225.0,1190,38,2.0,3.0,17,Mcdonald'S,Other,3.207547169811321
Sausage Burrito,310.0,17.0,7.0,0.0,170.0,800,25,1.0,2.0,13,Mcdonald'S,Other,4.193548387096775
Sausage McGriddles,430.0,24.0,9.0,0.0,35.0,990,41,2.0,14.0,11,Mcdonald'S,Other,2.558139534883721
Sausage McMuffin,400.0,26.0,10.0,0.5,55.0,760,29,2.0,2.0,14,Mcdonald'S,Other,3.5000000000000004
Sausage McMuffin with Egg,480.0,31.0,12.0,0.5,280.0,830,30,2.0,2.0,20,Mcdonald'S,Other,4.166666666666666
Big Mac,590.0,34.0,11.0,1.0,85.0,1050,46,3.0,9.0,25,Mcdonald'S,Other,4.23728813559322
Cheeseburger,300.0,13.0,6.0,0.5,40.0,720,32,2.0,7.0,15,Mcdonald'S,Burger,5.0
Double Cheeseburger,450.0,24.0,11.0,1.5,85.0,1120,34,2.0,7.0,25,Mcdonald'S,Burger,5.555555555555555
Double Quarter Pounder with Cheese,740.0,42.0,20.0,2.5,165.0,1360,43,2.0,10.0,48,Mcdonald'S,Other,6.486486486486487
Hamburger,250.0,9.0,3.5,0.0,30.0,510,31,1.0,6.0,12,Mcdonald'S,Burger,4.8
McDouble,400.0,20.0,9.0,1.0,70.0,920,33,2.0,7.0,22,Mcdonald'S,Other,5.5
Quarter Pounder with Cheese,520.0,26.0,12.0,1.5,95.0,1140,42,2.0,10.0,30,Mcdonald'S,Other,5.769230769230769
Quarter Pounder with Cheese Bacon,630.0,35.0,15.0,1.5,115.0,1470,43,3.0,10.0,36,Mcdonald'S,Other,5.714285714285714
Quarter Pounder with Cheese Deluxe,630.0,37.0,14.0,1.5,105.0,1210,44,3.0,11.0,30,Mcdonald'S,Other,4.761904761904762
Deluxe McCrispy,530.0,26.0,4.0,0.0,65.0,1050,48,2.0,10.0,27,Mcdonald'S,Other,5.09433962264151
Filet-O-Fish,390.0,19.0,4.0,0.0,30.0,580,39,2.0,5.0,16,Mcdonald'S,Fish,4.102564102564102
McChicken,400.0,21.0,3.5,0.0,40.0,560,39,1.0,5.0,14,Mcdonald'S,Chicken,3.5000000000000004
McCrispy,470.0,20.0,5.0,0.0,70.0,1140,46,1.0,9.0,26,Mcdonald'S,Other,5.531914893617021
Spicy Deluxe McCrispy,530.0,26.0,4.0,0.0,65.0,1200,49,2.0,10.0,27,Mcdonald'S,Other,5.09433962264151
Spicy McCrispy,530.0,26.0,4.0,0.0,65.0,1320,48,2.0,9.0,27,Mcdonald'S,Other,5.09433962264151
"Chicken McNuggets, 4 Piece",170.0,10.0,1.5,0.0,25.0,330,10,0.0,0.0,9,Mcdonald'S,Chicken,5.294117647058823
"Chicken McNuggets, 6 Piece",250.0,15.0,2.5,0.0,40.0,500,15,1.0,0.0,14,Mcdonald'S,Chicken,5.6000000000000005
"Chicken McNuggets, 10 Piece",410.0,24.0,4.0,0.0,65.0,850,26,1.0,0.0,23,Mcdonald'S,Chicken,5.609756097560976
"Chicken McNuggets, 20 Piece",830.0,49.0,8.0,0.0,130.0,1670,51,2.0,0.0,46,Mcdonald'S,Chicken,5.542168674698795
Apple Slices,15.0,0.0,0.0,0.0,0.0,0,4,0.0,3.0,0,Mcdonald'S,Other,0.0
Creamy Ranch Sauce,110.0,12.0,2.0,0.0,,160,1,0.0,1.0,0,Mcdonald'S,Other,0.0
Honey,50.0,0.0,0.0,0.0,0.0,0,12,0.0,11.0,0,Mcdonald'S,Other,0.0
Honey Mustard Sauce,60.0,3.5,0.5,0.0,,125,6,1.0,4.0,0,Mcdonald'S,Other,0.0
Ketchup Packet,10.0,0.0,0.0,0.0,0.0,90,2,0.0,2.0,0,Mcdonald'S,Other,0.0
Mayonnaise Packet,90.0,10.0,1.5,0.0,10.0,60,0,0.0,0.0,0,Mcdonald'S,Other,0.0
Mustard Packet,0.0,0.0,0.0,0.0,0.0,70,0,0.0,0.0,0,Mcdonald'S,Other,
Savory Chili WcDonald's Sauce (Limited Time),50.0,0.0,0.0,0.0,0.0,260,11,0.0,9.0,0,Mcdonald'S,Other,0.0
Spicy Buffalo Sauce,30.0,3.0,0.0,0.0,0.0,520,1,0.0,0.0,0,Mcdonald'S,Other,0.0
Sweet 'N Sour Sauce,50.0,0.0,0.0,0.0,0.0,160,11,0.0,10.0,0,Mcdonald'S,Other,0.0
Tangy BBQ Sauce,45.0,0.0,0.0,0.0,0.0,260,11,0.0,9.0,0,Mcdonald'S,Other,0.0
"World Famous Fries, Kids",110.0,5.0,0.5,0.0,0.0,90,15,1.0,0.0,2,Mcdonald'S,Side,1.8181818181818181
"World Famous Fries, Large",480.0,23.0,3.0,0.0,0.0,400,65,6.0,0.0,7,Mcdonald'S,Side,1.4583333333333333
"World Famous Fries, Medium",320.0,15.0,2.0,0.0,0.0,260,43,4.0,0.0,5,Mcdonald'S,Side,1.5625
"World Famous Fries, Small",230.0,11.0,1.5,0.0,0.0,190,31,3.0,0.0,3,Mcdonald'S,Side,1.3043478260869565
4 Piece Chicken McNuggets Happy Meal,400.0,17.0,3.5,0.0,35.0,500,41,1.0,14.0,19,Mcdonald'S,Chicken,4.75
6 Piece Chicken McNuggets Happy Meal,480.0,22.0,4.5,0.0,50.0,670,46,2.0,14.0,24,Mcdonald'S,Chicken,5.0
Hamburger Happy Meal,480.0,16.0,6.0,0.0,40.0,680,62,2.0,20.0,22,Mcdonald'S,Burger,4.583333333333333
"Americano, Large",5.0,0.0,0.0,0.0,0.0,15,1,0.0,0.0,0,Mcdonald'S,Other,0.0
"Americano, Medium",0.0,0.0,0.0,0.0,0.0,15,1,0.0,0.0,0,Mcdonald'S,Other,
"Americano, Small",0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0,Mcdonald'S,Other,
"Cappuccino, Large",210.0,10.0,6.0,0.0,40.0,130,18,0.0,14.0,11,Mcdonald'S,Other,5.238095238095238
"Cappuccino, Medium",160.0,7.0,4.5,0.0,30.0,100,14,0.0,11.0,9,Mcdonald'S,Other,5.625
"Cappuccino, Small",110.0,5.0,3.5,0.0,20.0,75,10,0.0,8.0,6,Mcdonald'S,Other,5.454545454545454
"Caramel Cappuccino, Large",340.0,8.0,5.0,0.0,35.0,460,55,0.0,49.0,11,Mcdonald'S,Other,3.2352941176470593
"Caramel Cappuccino, Medium",260.0,6.0,3.5,0.0,25.0,370,44,0.0,39.0,8,Mcdonald'S,Other,3.076923076923077
"Caramel Cappuccino, Small",210.0,4.5,3.0,0.0,20.0,290,35,0.0,31.0,7,Mcdonald'S,Other,3.3333333333333335
"Caramel Frappe, Large",350.0,26.0,17.0,1.0,80.0,115,94,1.0,84.0,11,Mcdonald'S,Other,3.1428571428571432
"Caramel Frappe, Medium",490.0,20.0,13.0,1.0,60.0,90,70,1.0,62.0,8,Mcdonald'S,Other,1.6326530612244898
"Caramel Frappe, Small",420.0,17.0,11.0,0.5,55.0,80,60,1.0,53.0,7,Mcdonald'S,Other,1.6666666666666667
"Caramel Latte, Large",390.0,11.0,6.0,0.0,45.0,490,60,0.0,53.0,14,Mcdonald'S,Other,3.5897435897435894
"Caramel Latte, Medium",320.0,8.0,5.0,0.0,35.0,410,50,0.0,43.0,11,Mcdonald'S,Other,3.4375000000000004
"Caramel Latte, Small",250.0,7.0,4.0,0.0,25.0,320,39,0.0,34.0,9,Mcdonald'S,Other,3.5999999999999996
"Caramel Macchiato, Large",400.0,10.0,6.0,0.0,40.0,490,60,0.0,53.0,14,Mcdonald'S,Other,3.5000000000000004
"Caramel Macchiato, Medium",320.0,8.0,5.0,0.0,30.0,400,51,0.0,44.0,11,Mcdonald'S,Other,3.4375000000000004
"Caramel Macchiato, Small",260.0,6.0,4.0,0.0,25.0,320,41,0.0,35.0,9,Mcdonald'S,Other,3.4615384615384617
"French Vanilla Cappuccino, Large",340.0,8.0,5.0,0.0,30.0,115,58,0.0,43.0,9,Mcdonald'S,Other,2.6470588235294117
"French Vanilla Cappuccino, Medium",260.0,6.0,3.5,0.0,25.0,80,47,0.0,34.0,7,Mcdonald'S,Other,2.6923076923076925
"French Vanilla Cappuccino, Small",210.0,4.5,3.0,0.0,20.0,65,37,0.0,28.0,5,Mcdonald'S,Other,2.380952380952381
"French Vanilla Latte, Large",390.0,11.0,6.0,0.0,40.0,150,60,0.0,45.0,12,Mcdonald'S,Other,3.076923076923077
"French Vanilla Latte, Medium",310.0,8.0,5.0,0.0,35.0,115,50,0.0,37.0,10,Mcdonald'S,Other,3.225806451612903
"French Vanilla Latte, Small",250.0,6.0,4.0,0.0,25.0,90,39,0.0,29.0,8,Mcdonald'S,Other,3.2
"Iced Caramel Coffee, Large",270.0,9.0,6.0,0.0,35.0,440,46,0.0,39.0,5,Mcdonald'S,Other,1.8518518518518516
"Iced Caramel Coffee, Medium",190.0,7.0,4.5,0.0,25.0,300,31,0.0,26.0,4,Mcdonald'S,Other,2.1052631578947367
"Iced Caramel Coffee, Small",140.0,5.0,3.5,0.0,20.0,220,23,0.0,20.0,3,Mcdonald'S,Other,2.142857142857143
"Iced Caramel Latte, Large",330.0,8.0,4.5,0.0,30.0,460,55,0.0,48.0,11,Mcdonald'S,Other,3.3333333333333335
"Iced Caramel Latte, Medium",220.0,5.0,3.0,0.0,20.0,300,36,0.0,32.0,7,Mcdonald'S,Other,3.1818181818181817
"Iced Caramel Latte, Small",180.0,4.5,2.5,0.0,20.0,240,29,0.0,25.0,6,Mcdonald'S,Other,3.3333333333333335
"Iced Caramel Macchiato, Large",360.0,9.0,5.0,0.0,35.0,480,59,0.0,51.0,12,Mcdonald'S,Other,3.3333333333333335
"Iced Caramel Macchiato, Medium",240.0,6.0,3.5,0.0,25.0,320,41,0.0,35.0,8,Mcdonald'S,Other,3.3333333333333335
"Iced Caramel Macchiato, Small",200.0,5.0,3.0,0.0,20.0,250,33,0.0,28.0,7,Mcdonald'S,Other,3.5000000000000004
"Iced Coffee, Large",260.0,9.0,6.0,0.0,35.0,90,45,0.0,42.0,3,Mcdonald'S,Other,1.153846153846154
"Iced Coffee, Medium",190.0,6.0,4.0,0.0,20.0,50,32,0.0,25.0,2,Mcdonald'S,Other,1.0526315789473684
"Iced Coffee, Small",140.0,5.0,3.5,0.0,20.0,50,24,0.0,22.0,2,Mcdonald'S,Other,1.4285714285714286
"Iced French Vanilla Coffee, Large",280.0,8.0,5.0,0.0,30.0,65,49,0.0,33.0,2,Mcdonald'S,Other,0.7142857142857143
"Iced French Vanilla Coffee, Medium",200.0,6.0,4.0,0.0,20.0,50,33,0.0,22.0,2,Mcdonald'S,Other,1.0
"Iced French Vanilla Coffee, Small",150.0,5.0,3.0,0.0,15.0,35,25,0.0,17.0,1,Mcdonald'S,Other,0.6666666666666667
"Iced French Vanilla Latte, Large",330.0,8.0,4.5,0.0,30.0,115,57,0.0,42.0,9,Mcdonald'S,Other,2.727272727272727
"Iced French Vanilla Latte, Medium",220.0,5.0,3.0,0.0,20.0,75,38,0.0,28.0,6,Mcdonald'S,Other,2.727272727272727
"Iced French Vanilla Latte, Small",180.0,4.5,2.5,0.0,20.0,65,30,0.0,22.0,5,Mcdonald'S,Other,2.7777777777777777
"Iced Latte, Large",170.0,8.0,5.0,0.0,30.0,115,15,0.0,12.0,9,Mcdonald'S,Other,5.294117647058823
"Iced Latte, Medium",120.0,6.0,3.5,0.0,20.0,90,10,0.0,9.0,6,Mcdonald'S,Other,5.0
"Iced Latte, Small",90.0,4.5,2.5,0.0,15.0,65,7,0.0,7.0,4,Mcdonald'S,Other,4.444444444444445
"Iced Mocha, Large",450.0,15.0,9.0,0.0,45.0,180,69,2.0,62.0,11,Mcdonald'S,Other,2.4444444444444446
"Iced Mocha, Medium",320.0,11.0,7.0,0.0,35.0,125,48,2.0,43.0,8,Mcdonald'S,Other,2.5
"Iced Mocha, Small",280.0,10.0,6.0,0.0,35.0,110,39,1.0,35.0,7,Mcdonald'S,Other,2.5
"Latte, Large",250.0,13.0,8.0,0.0,40.0,180,20,0.0,19.0,13,Mcdonald'S,Other,5.2
"Latte, Medium",190.0,10.0,6.0,0.0,30.0,135,15,0.0,15.0,10,Mcdonald'S,Other,5.263157894736842
"Latte, Small",140.0,8.0,4.5,0.0,25.0,100,12,0.0,11.0,7,Mcdonald'S,Other,5.0
"Mocha Frappe, Large",660.0,26.0,17.0,1.0,95.0,190,97,1.0,81.0,11,Mcdonald'S,Other,1.6666666666666667
"Mocha Frappe, Medium",490.0,20.0,13.0,0.5,75.0,140,72,1.0,60.0,8,Mcdonald'S,Other,1.6326530612244898
"Mocha Frappe, Small",430.0,17.0,11.0,0.5,65.0,120,61,0.0,51.0,7,Mcdonald'S,Other,1.627906976744186
"Mocha Latte, Large",470.0,16.0,9.0,0.0,45.0,200,70,2.0,64.0,13,Mcdonald'S,Other,2.7659574468085104
"Mocha Latte, Medium",380.0,12.0,7.0,0.0,35.0,150,57,2.0,52.0,10,Mcdonald'S,Other,2.631578947368421
"Mocha Latte, Small",290.0,9.0,5.0,0.0,30.0,125,45,1.0,39.0,8,Mcdonald'S,Other,2.7586206896551726
"Premium Roast Coffee, Large",10.0,0.0,0.0,0.0,0.0,15,2,0.0,0.0,1,Mcdonald'S,Other,10.0
"Premium Roast Coffee, Medium",10.0,0.0,0.0,0.0,0.0,10,1,0.0,0.0,1,Mcdonald'S,Other,10.0
"Premium Roast Coffee, Small",5.0,0.0,0.0,0.0,0.0,10,1,0.0,0.0,0,Mcdonald'S,Other,0.0
Baked Apple Pie,230.0,11.0,6.0,0.0,0.0,100,33,1.0,14.0,2,Mcdonald'S,Other,0.8695652173913043
Chocolate Chip Cookie,170.0,8.0,4.0,0.0,10.0,95,22,1.0,15.0,2,Mcdonald'S,Other,1.1764705882352942
"Chocolate Shake, Large",800.0,20.0,13.0,1.0,80.0,390,134,1.0,106.0,18,Mcdonald'S,Other,2.25
"Chocolate Shake, Medium",650.0,17.0,11.0,1.0,65.0,310,107,1.0,85.0,15,Mcdonald'S,Other,2.307692307692308
"Chocolate Shake, Small",520.0,14.0,9.0,0.5,55.0,250,85,1.0,67.0,12,Mcdonald'S,Other,2.307692307692308
Hot Caramel Sundae,330.0,7.0,4.5,0.0,30.0,150,58,0.0,41.0,7,Mcdonald'S,Other,2.1212121212121215
Hot Fudge Sundae,330.0,10.0,7.0,0.0,25.0,170,51,2.0,44.0,8,Mcdonald'S,Other,2.4242424242424243
McFlurry with M&M's Candies,640.0,21.0,14.0,0.5,45.0,200,96,2.0,83.0,13,Mcdonald'S,Other,2.03125
McFlurry with OREO Cookies,510.0,16.0,8.0,0.5,40.0,260,80,1.0,60.0,12,Mcdonald'S,Other,2.3529411764705883
OREO Shamrock McFlurry (Limited Time),550.0,15.0,8.0,0.5,40.0,250,89,1.0,66.0,12,Mcdonald'S,Other,2.181818181818182
"Shamrock Shake, Large (Limited Time)",800.0,20.0,13.0,1.0,80.0,260,135,0.0,103.0,18,Mcdonald'S,Other,2.25
"Shamrock Shake, Medium (Limited Time)",540.0,15.0,9.0,0.5,60.0,180,87,0.0,68.0,12,Mcdonald'S,Other,2.2222222222222223
"Shamrock Shake, Small (Limited Time)",500.0,14.0,9.0,0.5,55.0,160,82,0.0,63.0,11,Mcdonald'S,Other,2.1999999999999997
"Strawberry Shake, Large",850.0,21.0,13.0,1.0,80.0,310,143,0.0,107.0,19,Mcdonald'S,Other,2.235294117647059
"Strawberry Shake, Medium",600.0,16.0,10.0,0.5,60.0,210,99,0.0,74.0,13,Mcdonald'S,Other,2.166666666666667
"Strawberry Shake, Small",470.0,13.0,8.0,0.5,50.0,160,77,0.0,58.0,10,Mcdonald'S,Other,2.127659574468085
Vanilla Cone,200.0,5.0,3.0,0.0,20.0,80,33,0.0,23.0,5,Mcdonald'S,Other,2.5
"Vanilla Shake, Large",780.0,19.0,12.0,1.0,75.0,360,133,0.0,85.0,17,Mcdonald'S,Other,2.1794871794871793
"Vanilla Shake, Medium",570.0,15.0,9.0,0.5,60.0,260,97,0.0,62.0,12,Mcdonald'S,Other,2.1052631578947367
"Vanilla Shake, Small",480.0,13.0,8.0,0.5,50.0,210,80,0.0,51.0,10,Mcdonald'S,Other,2.083333333333333
1% Low Fat Milk Jug,100.0,2.0,1.5,0.0,10.0,80,12,0.0,11.0,8,Mcdonald'S,Other,8.0
"Coca-Cola, Extra Small",110.0,0.0,0.0,0.0,0.0,30,28,0.0,28.0,0,Mcdonald'S,Other,0.0
"Coca-Cola, Large",380.0,0.0,0.0,0.0,0.0,95,100,0.0,100.0,0,Mcdonald'S,Other,0.0
"Coca-Cola, Medium",210.0,0.0,0.0,0.0,0.0,55,56,0.0,56.0,0,Mcdonald'S,Other,0.0
"Coca-Cola, Small",150.0,0.0,0.0,0.0,0.0,40,39,0.0,39.0,0,Mcdonald'S,Other,0.0
Dasani Water,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,Mcdonald'S,Other,
"Diet Coke, Extra Small",0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0,Mcdonald'S,Other,
"Diet Coke, Large",0.0,0.0,0.0,0.0,0.0,20,1,0.0,0.0,0,Mcdonald'S,Other,
